image_id,delta_iou,delta_fp,delta_fn,interior_delta,boundary_delta,contact_delta,mean_neff,max_neff,mean_entropy,mean_top5_mass,mean_top10_mass,mean_dominant_share,weighted_basis_purity,fragmentation_delta,area_ratio_delta,formal_delta_iou,neff_quartile,cluster_k2,cluster_k3,cluster_k4
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,0.0,0.0,0.0,0.0,0.0,0.0,152.4940436540106,192.79675142643413,0.9455878610869366,0.11321198021319186,0.18633529389845993,0.0336329169276686,0.49933788226917386,0.0,0.0,0.0,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,0.0,0.0,0.0,0.0,0.0,0.0,154.95635829760883,186.79076132250052,0.9513969557156705,0.1019014666361047,0.17291711357679374,0.024296400965904765,0.41402653604745865,0.0,0.0,0.0,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,-0.013960249368117794,0.005474887439423905,0.01438109733414631,-0.012092354612951883,-0.02416146024910626,-0.0024286581663630624,127.39970057724214,143.0213429030727,0.9169476013365387,0.0665927721676079,0.1285495321968665,0.014783018819211308,0.7240791618824005,0.04177953413559617,-0.008906209894730177,-0.0139602493681176,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,-0.038557169325619034,-0.014836977266895299,0.06989967518852164,-0.07728732037364727,0.014057715534574133,0.012024048096192397,123.07192610965083,144.9136854872931,0.9088032104955526,0.0749003699148389,0.1420624211886705,0.016758475970075928,0.576957106590271,0.20763654794633638,-0.0847366524555393,-0.038557169325619,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,-0.013667374757847683,-0.015808418412998043,0.03424377749092574,-0.040453135599127166,0.021250867589791278,-0.004232013940751789,127.7858314155628,138.89918620256068,0.918236878216304,0.06460844074638279,0.12601507730149647,0.013410947564988448,0.7379792034626007,-0.019961543280873538,-0.05005219590396798,-0.0136673747578476,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,0.13492730320594157,-0.19854786083534054,-0.06970728951838372,0.08065095572027206,0.024106366507684274,0.0003419972640218427,131.64500492020647,151.39424084703353,0.9224368674835418,0.06955412961112968,0.13203636791654877,0.01447194327773733,0.7170768678188324,0.018087607941745083,-0.12884057131706736,0.1349273032059415,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,5.730501281220324e-06,-1.732861994870128e-05,0.0,0.0,0.0,0.0,112.02274939083043,157.6861182326607,0.8767990269078485,0.18663171805236584,0.2874512785206819,0.04008587619820376,0.699572741985321,1.9860335755822467e-07,-1.732861994874213e-05,-0.0958388135943839,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,-0.0003115711389447273,0.0012665862484916499,0.0,0.0,0.0,0.0,121.05996107219147,136.62902801539715,0.9071320617490635,0.07944971702680709,0.15463649581095518,0.016606138394716426,0.6776761412620544,-1.2527991106571837e-05,0.0012665862484921853,-0.0002077140926298,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0.00020594175170070747,-0.012214342001431665,-0.00022436941338250114,5.4003595096478264e-05,0.0013765242828429984,0.0,107.27996299284155,127.3711774813693,0.8824475596991516,0.09002401393645552,0.17358805239143793,0.019082009992910404,0.3525366299824479,322.91333251478494,-0.01198997258819349,0.0002059417517006,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0.06623883645210554,0.41511623961450733,-0.17463471938756978,0.191727736983656,0.13401607185332554,-0.14057686505837264,109.30315486877824,165.36156093294727,0.8749378512265213,0.14069840133700565,0.24649531433714458,0.03426849675007327,0.4425715357065201,0.06031300929892577,0.5897509590028158,0.0662388364521055,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,-0.3282942809914351,0.15544755542978828,0.2535840432565551,-0.2940501949224959,-0.2323160128883902,-0.0027600050181909586,121.50521327705067,132.34021596269957,0.9086512251905705,0.0705154145092152,0.13358323424257146,0.01565608220440807,0.8134454488754272,-0.06812334082823278,-0.09813648782684697,-0.3282942809914351,Q2,1,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0.0,0.0,0.0,0.0,0.0,0.0,113.9466785123281,192.77071919470606,0.8355585226649456,0.2258863843988549,0.33559438837211825,0.0765691203831061,0.5248914361000061,0.0,0.0,0.0,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,-0.05929757118980836,0.12230127058201674,0.03248454674346657,-0.032443581786465114,-0.027341486665632242,-0.02356301320956794,116.36876514515144,119.44674846229024,0.9011578063994542,0.07741755294891581,0.14511944168440735,0.016801904206127448,0.6531510651111603,0.05886552333019911,0.08981672383864564,-0.0592975711898083,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,0.026836507944745902,-0.003500617474531724,-0.02364580117318711,0.02090214765362497,0.026690392172396826,-0.005632360471070186,137.54465425662818,143.42043451566136,0.9327261052897605,0.07053493142505,0.13052052364390285,0.01490781903372607,0.7779251933097839,0.06326351752005302,0.02014518369867241,0.0268365079447459,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,0.03115424988879098,-0.11656473672067791,-0.05236004411012213,0.07096955103570582,0.02309183399979256,0.007896974851172411,118.92045077981984,125.42123749383843,0.9050501417697561,0.06913081463637072,0.13357530907190612,0.014446530563977775,0.5016625374555588,0.13388205156092725,-0.06420469261065953,0.0311542498887909,Q2,1,0,1
