k,mIoU,mDice,delta_vs_full_pp
1,0.6425829253382862,0.780065397966257,-0.09600816950029456
3,0.642705757536982,0.7801669121765185,-0.08372494963071464
5,0.6427263455456003,0.7801860598025854,-0.08166614876888856
10,0.6424801385997545,0.7800085689328355,-0.10628684335346472
20,0.6427146149802738,0.7801645453068894,-0.08283920530153255
50,0.6429431793893378,0.7803141013870842,-0.05998276439513894
100,0.6422532565439809,0.7798048666215371,-0.1289750489308239
196,0.6435430126143897,0.7807558573480916,5.581100581686371e-07
