model,mIoU,interior_correctness,boundary_f1,contact_accuracy,fp,fn,mean_fragmentation,mean_hole_fraction
sshr,0.6669670591172749,0.669005441828912,0.603184041600605,0.4633569909248975,27492180,27492180,1.3358730927777898,0.0028203555540030185
gcqm,0.6435430070332891,0.6448719282363095,0.591813718807029,0.45406418124811815,30235118,30235118,44.02210763695385,0.005054386266388374
pixel,0.6445102321748326,0.6466477063725348,0.5922842236773325,0.45418784782272303,30054293,30054293,43.85933855587292,0.004779645347832445
