snapshot,stage,present_class_query_coverage,absent_class_dominance,top1_confidence,all_finite,deep_present_mean,deep_absent_mean,deep_present_absent_gap
epoch5,1,0.9821428571428571,0.03125,0.09100845252396539,True,0.8590080730084863,0.11032884863056501,0.7486792243779212
epoch5,2,0.9821428571428571,0.0625,0.09844183747190982,True,0.8590080730084863,0.11032884863056501,0.7486792243779212
epoch5,3,0.9464285714285714,0.0625,0.06664184693363495,True,0.8590080730084863,0.11032884863056501,0.7486792243779212
epoch10,1,0.9821428571428571,0.0625,0.07073088380275294,True,0.8612756650628788,0.09051284483328143,0.7707628202295973
epoch10,2,0.9821428571428571,0.03125,0.08570980781223625,True,0.8612756650628788,0.09051284483328143,0.7707628202295973
epoch10,3,0.9821428571428571,0.09375,0.06181523099076003,True,0.8612756650628788,0.09051284483328143,0.7707628202295973
epoch15,1,0.9821428571428571,0.03125,0.05910759238759056,True,0.8795840396279735,0.09352496558815598,0.7860590740398175
epoch15,2,0.9821428571428571,0.0625,0.07991264085285366,True,0.8795840396279735,0.09352496558815598,0.7860590740398175
epoch15,3,0.9642857142857143,0.0625,0.0593436578346882,True,0.8795840396279735,0.09352496558815598,0.7860590740398175
epoch20,1,0.9642857142857143,0.0625,0.05568005202803761,True,0.8777196505106986,0.06139755013860951,0.8163221003720891
epoch20,2,0.9821428571428571,0.03125,0.0744837939273566,True,0.8777196505106986,0.06139755013860951,0.8163221003720891
epoch20,3,0.9107142857142857,0.09375,0.0581016716605518,True,0.8777196505106986,0.06139755013860951,0.8163221003720891
epoch25,1,0.9642857142857143,0.03125,0.05493840214330703,True,0.8991024790198675,0.0639954031258488,0.8351070758940187
epoch25,2,0.9642857142857143,0.03125,0.0732034794637002,True,0.8991024790198675,0.0639954031258488,0.8351070758940187
epoch25,3,0.9285714285714286,0.0625,0.060570005007321015,True,0.8991024790198675,0.0639954031258488,0.8351070758940187
