snapshot,stage,integrity_max_abs_sum_error,integrity_mean_abs_sum_error,complement_responsibility_iou_mean,complement_responsibility_iou_median,complement_centroid_distance_mean,complement_distinct_peak_fraction,utilization_dominant_share_median,utilization_dominant_share_mean,utilization_effective_queries_median,utilization_effective_queries_mean,utilization_normalized_entropy_median
epoch5,2,1.0132789611816406e-06,1.6137063951759956e-07,0.6408329479254982,0.7790511250495911,0.021266107667595083,0.6928571428571428,0.019673435017466545,0.04157859988377562,136.2401580810547,114.80236506462097,0.9310923516750336
epoch5,3,1.1920928955078125e-06,1.6246292489086045e-07,0.2480154731726673,0.2217898815870285,0.005834142281517935,0.9178571428571428,0.010319904889911413,0.019965055165812373,139.66563415527344,138.86599046843392,0.935791552066803
epoch10,2,9.5367431640625e-07,1.6007997416522812e-07,0.7213481203761019,0.8859029114246368,0.01702358062674258,0.5678571428571428,0.015809373930096626,0.030633482192310373,139.6929168701172,122.87340331077576,0.9358305037021637
epoch10,3,1.0728836059570312e-06,1.6400305113961622e-07,0.2756301061375,0.25099602341651917,0.002183592688142458,0.9,0.009637197945266962,0.018596195341420492,138.42369079589844,138.57203769683838,0.934101939201355
epoch15,2,9.5367431640625e-07,1.5955135523881836e-07,0.8254841481202415,0.9503105878829956,0.009286661032872092,0.4178571428571428,0.014146743807941675,0.030635202918866917,136.05327606201172,121.89366802147457,0.930817723274231
epoch15,3,9.5367431640625e-07,1.613997433480563e-07,0.31226387576565945,0.30290457606315613,0.0010242628556901374,0.8357142857142856,0.009428144432604313,0.017766463437250683,142.31073760986328,139.9106309754508,0.9393527507781982
epoch20,2,9.5367431640625e-07,1.611698827730379e-07,0.8757754914628874,0.9624999761581421,0.007113844766679124,0.35,0.012490158900618553,0.027112598015394593,137.01482391357422,126.24954831600189,0.9321677982807159
epoch20,3,9.5367431640625e-07,1.6262804436451006e-07,0.32335936803886267,0.324894517660141,0.0006582795228480011,0.8142857142857143,0.008784445468336344,0.01914421868942944,145.41009521484375,140.61928292683191,0.9434289932250977
epoch25,2,9.5367431640625e-07,1.598869374674905e-07,0.8929200142281063,0.9624999761581421,0.005222044053022858,0.3428571428571429,0.012539430055767298,0.023639529943466187,128.4605827331543,128.521454845156,0.9199526607990265
epoch25,3,9.5367431640625e-07,1.6292620941271707e-07,0.3235882090213376,0.3221111297607422,0.0005643848592464045,0.8142857142857143,0.009735003113746643,0.018653767807076553,139.39525604248047,139.07051209041052,0.9354211986064911
