snapshot,stage,conservation_max_weight_sum_error,conservation_max_contribution_sum_error,conservation_all_finite,conditioning_JS_median,conditioning_JS_mean,conditioning_top1_difference,conditioning_top3_jaccard,conditioning_top5_jaccard,utilization_dominant_share,utilization_effective_queries,utilization_normalized_entropy,utilization_queries_above_uniform,utilization_top5_mass,utilization_top10_mass
epoch5,2,2.384185791015625e-07,0.0,True,0.33265095949172974,0.3079884764220979,0.9629629629629629,0.022222222222222227,0.04159318048206937,0.021949579007923603,134.09980010986328,0.9280814230442047,83.0,0.09160979464650154,0.16519499570131302
epoch5,3,1.7881393432617188e-07,0.0,True,0.28906118869781494,0.28221562780715803,1.0,0.014814814814814815,0.008230452674897118,0.014009376056492329,143.5396270751953,0.9409525394439697,102.0,0.06560245901346207,0.12396132200956345
epoch10,2,1.7881393432617188e-07,0.0,True,0.4013020098209381,0.38629885845714146,1.0,0.014814814814814815,0.008230452674897118,0.018193461932241917,137.93536376953125,0.9334330856800079,89.0,0.08085907995700836,0.15071937441825867
epoch10,3,1.7881393432617188e-07,0.0,True,0.3324959874153137,0.3416093858303847,1.0,0.0,0.0,0.013447667472064495,137.62531280517578,0.93300661444664,99.5,0.06373004615306854,0.11881712079048157
epoch15,2,2.384185791015625e-07,0.0,True,0.42266643047332764,0.40824143892085113,1.0,0.007407407407407408,0.009259259259259259,0.01705722790211439,133.6052017211914,0.9273445904254913,89.0,0.07390893995761871,0.1401214376091957
epoch15,3,1.1920928955078125e-07,0.0,True,0.3398944139480591,0.3302604078694626,1.0,0.0,0.0,0.012280455324798822,142.17415618896484,0.9391709268093109,100.5,0.05730084329843521,0.1100735142827034
epoch20,2,1.1920928955078125e-07,0.0,True,0.42619413137435913,0.4013623680781435,1.0,0.0,0.004115226337448559,0.015239314641803503,134.47660064697266,0.9286041557788849,92.5,0.0706300288438797,0.1344202496111393
epoch20,3,1.1920928955078125e-07,0.0,True,0.3354872763156891,0.33045269162566576,1.0,0.0,0.0,0.012468187604099512,144.89791107177734,0.9427658021450043,99.0,0.06044588051736355,0.11525099352002144
epoch25,2,1.1920928955078125e-07,0.0,True,0.4146093726158142,0.3990504890680313,1.0,0.0,0.0,0.016113325022161007,127.24260330200195,0.9181372225284576,93.5,0.07444632798433304,0.13964179158210754
epoch25,3,1.1920928955078125e-07,0.0,True,0.36368829011917114,0.3503802920933123,1.0,0.0,0.0,0.013969271443784237,138.28958129882812,0.933909147977829,99.0,0.06583946943283081,0.12642057240009308
