snapshot,stage,primary_positive_recall,primary_positive_confidence,primary_positive_F_median,primary_rival_leakage,primary_background_leakage,primary_probability_gap,primary_rival_gap,primary_background_gap,primary_empty_fraction,primary_median_area,primary_fraction_area_lt_001,primary_fraction_area_gt_090,primary_component_p90,primary_CPR,perm_D_perm_mean,perm_D_perm_std,perm_D_perm_min,perm_D_perm_max,perm_D_perm_positive,perm_D_perm_rival,perm_D_perm_background,pca_gain_gap_gain,pca_gain_recall_gain,pca_gain_confidence_gain,pca_gain_rival_reduction,pca_gain_background_reduction,B_empty_fraction,B_fraction_area_gt_090,B_median_area,B_component_p90,B_binary_iou_median,B_soft_iou_median,B_embedding_cosine_median,B_all_finite
epoch5,2,1.0,0.792465511059683,0.8117804825305939,0.06462783615829217,0.0044088499853387475,0.6927856052031381,0.5516791018697059,0.7672307618415684,0.0,0.2549425959587097,0.0,0.0,7.0,4.659648895263672,0.13613232660463837,0.096140422220431,0.0017138848779723048,0.35198482871055603,0.2513987767829998,0.2824252373758807,0.012696413087204357,0.6354315593385582,1.0,0.4886708807382835,0.6311736226909691,0.0016301371298530808,0.0009578544061302681,0.0,0.23357780277729034,7.0,0.28921036422252655,0.34095579385757446,0.7767336368560791,True
epoch5,3,1.0,0.7905212579032407,0.8091811835765839,0.04118397868134909,0.005063596248094525,0.6931402711045991,0.5581568835735926,0.7643549861669264,0.0,0.25701530277729034,0.017857142857142856,0.0,6.5,1.2213690280914307,0.1289859632578165,0.08962061501706069,0.00016246922314167023,0.31779569387435913,0.24036977275023577,0.27458736348198726,0.010724737999439071,0.31435179321749535,0.04507991671562195,0.22504758883358655,0.42259435505709714,-0.0014318844769150023,0.0,0.0,0.2613201439380646,7.0,0.2786547839641571,0.32602033019065857,0.6862543821334839,True
epoch10,2,1.0,0.8342969842858052,0.8572801649570465,0.029293682012293074,0.000936621315694148,0.7928673195655461,0.676992830676503,0.8287513752315978,0.0,0.19690687954425812,0.0,0.0,6.0,3.998182535171509,0.11867428161505293,0.08561519757100619,0.0015293365577235818,0.29778534173965454,0.30124476020396934,0.33575137523293963,0.0038115000078643596,0.5909924030833269,1.0,0.47908979285296527,0.6283128074991207,0.0005730291159125045,0.00186219739292365,0.0,0.17378825694322586,6.0,0.27925533056259155,0.31848788261413574,0.8501460552215576,True
epoch10,3,1.0,0.8269627685631716,0.8430574536323547,0.018764337804168463,0.0005922696041774803,0.7828649993867961,0.6558242141278161,0.8222070379476517,0.0,0.17936861515045166,0.0,0.0,6.0,1.5842700600624084,0.10994603429669171,0.08155180662862967,7.057243783492595e-05,0.349762886762619,0.28062155814536993,0.3066603133429049,0.00274572382793638,0.3998768848720148,0.20192304253578186,0.32264661859350596,0.44928201671896706,0.000755339619770114,0.0017985611510791368,0.0,0.1914859637618065,6.0,0.25557810068130493,0.315864235162735,0.7898637652397156,True
epoch15,2,1.0,0.8392813769491748,0.8682955801486969,0.023785679078557425,0.0025252852011127054,0.8018118436725646,0.6984136915434885,0.8307068398100913,0.0,0.1937181055545807,0.0,0.0,6.0,4.77490758895874,0.12183900814008146,0.08739346952989181,0.0006315730279311538,0.31630122661590576,0.31178945664877183,0.34993431612674614,0.006414165533601906,0.604664997113133,1.0,0.49722636942647386,0.617035780655634,0.00048076449376013505,0.0018298261665141812,0.0,0.16390305757522583,6.0,0.2564469873905182,0.3142513632774353,0.8758665323257446,True
epoch15,3,1.0,0.8021930938029763,0.8270819783210754,0.03460762621317473,0.0016975686928533294,0.7586147587626607,0.629331397534119,0.7947434723462634,0.0,0.1819196417927742,0.0,0.0,6.0,1.5961619019508362,0.10506611401500063,0.07553521359653885,8.387595153180882e-05,0.29867568612098694,0.2707292216108255,0.30251361053152426,0.004491987396672802,0.3961622731820268,0.5115491896867752,0.3213934355371712,0.4523338071639753,0.0008012758550682555,0.0009033423667570009,0.0,0.1919642835855484,6.0,0.22109634429216385,0.3130493462085724,0.8435345888137817,True
epoch20,2,1.0,0.8433515836022273,0.8782953023910522,0.02711353947718938,0.0030688146008677514,0.8079901448785749,0.6972791433634298,0.8330929783671314,0.0,0.18096300214529037,0.0,0.0,6.0,3.064324736595154,0.11756200700386087,0.08933848526213994,0.0015839643310755491,0.31794819235801697,0.3021585437084338,0.347313582340333,0.006344668905171602,0.5403157895789734,1.0,0.4525834534624145,0.6158927894714805,0.00036050872794086367,0.0,0.0,0.16549745202064514,6.0,0.21477873623371124,0.3077339828014374,0.885870635509491,True
epoch20,3,1.0,0.806413435088696,0.8429728746414185,0.03960695774811837,0.0016475348550427174,0.7665422629822893,0.6289302984508539,0.7977446745257636,0.0,0.1836734637618065,0.0,0.0,6.0,1.5877038836479187,0.10141712252350642,0.07686577217163183,0.0001396562292939052,0.31857576966285706,0.2624175719409517,0.2978725936143342,0.004617263432770358,0.39149073582970534,0.3911764621734619,0.3286249820168,0.48013027860886515,0.0012941051681991664,0.0,0.0,0.18781886994838715,6.0,0.2515592575073242,0.33453717827796936,0.8583097457885742,True
epoch25,2,1.0,0.8389472629823062,0.8691447675228119,0.02937109712511301,0.002523535858253362,0.8032931163041362,0.689325033934076,0.8307467610350575,0.0,0.1691645383834839,0.0,0.0,6.0,3.1685259342193604,0.11374863373021071,0.08405539180586884,0.0009547467343509197,0.3169530928134918,0.2977145609217879,0.3447396807980517,0.005840470912062301,0.5528734561589227,1.0,0.4592083779615764,0.6257254301052955,0.0001532004076849531,0.0009090909090909091,0.0,0.1658163219690323,6.0,0.2521865963935852,0.3368762135505676,0.8911169767379761,True
epoch25,3,1.0,0.8110118108185854,0.846362292766571,0.03733811371235384,0.001467237916249023,0.7730240695089998,0.6443995560846951,0.8040082856316545,0.0,0.1741071417927742,0.0,0.0,6.0,1.9437174201011658,0.10260017078819926,0.07666345243606448,0.00012447050539776683,0.3807506859302521,0.26853131864215485,0.3027794426682198,0.004582709474378164,0.43910657184088675,0.9077586177736521,0.3658674000246718,0.5337121863228579,0.0005498712104141574,0.002697841726618705,0.0,0.18494898080825806,6.0,0.2430555522441864,0.3297092318534851,0.8566323518753052,True
