step,objective,cosine,finite
1,sem_pres,0.11606249958276749,True
1,struct,0.0017349532572552562,True
1,orth,-0.015203609131276608,True
1,rec,0.0,True
2,sem_pres,-0.023849762976169586,True
2,struct,-5.6522353588661645e-06,True
2,orth,0.0022399919107556343,True
2,rec,-0.10197838395833969,True
4,sem_pres,0.046652231365442276,True
4,struct,-0.0023452392779290676,True
4,orth,-0.011634571477770805,True
4,rec,0.1334417164325714,True
8,sem_pres,0.2317851185798645,True
8,struct,0.0017160197021439672,True
8,orth,-0.015833212062716484,True
8,rec,0.3415255844593048,True
