step,loss_total,loss_sshr,loss_sem_pres,loss_struct,loss_orth,loss_rec,structural_scheduled,finite
1,0.17882297933101654,0.17086678743362427,0.14327794313430786,,0.01584579609334469,0.0,False,True
2,0.24774321913719177,0.24438180029392242,0.05068933963775635,,0.01647251844406128,3.319978713989258e-05,False,True
3,0.4675847291946411,0.45384764671325684,0.26053881645202637,,0.013943059369921684,0.00012952089309692383,False,True
4,0.48212704062461853,0.4799990653991699,0.03170746564865112,0.00015627258107997477,0.010523133911192417,8.636713027954102e-05,True,True
5,0.6226874589920044,0.6206878423690796,0.029522359371185303,,0.010318765416741371,7.56978988647461e-05,False,True
6,0.46868252754211426,0.4653173089027405,0.05301666259765625,,0.009506260976195335,0.0023906826972961426,False,True
7,0.44408443570137024,0.4400235414505005,0.07140344381332397,,0.007694765459746122,0.001059889793395996,False,True
8,0.27055075764656067,0.2680332660675049,0.04017680883407593,0.000500426278449595,0.007876693271100521,0.0008977651596069336,True,True
