step,h_rms,semantic_rms,morphology_rms,semantic_morphology_rms_ratio,reconstruction_cosine,residual_ratio,cross_covariance,struct_error_morphology,struct_error_semantic,raw_eq_error_morphology,raw_eq_error_semantic,semantic_response_rms_ratio,semantic_agreement,finite
0,0.8186374306678772,0.9192989468574524,0.7037215232849121,1.3063391077836257,1.0,0.0,0.1258750706911087,0.00012134730059187859,0.00010859064786927775,0.115974560379982,0.12715955078601837,0.8215305303823821,0.8567291498184204,True
1,0.8202738165855408,0.9217274188995361,0.7031212449073792,1.3109082189937848,0.9999638795852661,0.008611419863844165,0.12610939145088196,0.00011288385576335713,0.00010403588385088369,0.11477076262235641,0.12586922943592072,0.8132904404610749,0.8783414363861084,True
2,0.7853697538375854,0.8225829601287842,0.7455567717552185,1.1033136459764483,0.9998683333396912,0.015755851473434057,0.1271427869796753,0.00011570339120225981,0.0001695745304459706,0.11037637293338776,0.11966244876384735,0.8242471814471654,0.7066273093223572,True
4,0.7233891487121582,0.7843050956726074,0.6512210965156555,1.2043607000261671,0.999912440776825,0.013773128559916414,0.09817809611558914,7.123294926714152e-05,6.508560909423977e-05,0.0729522854089737,0.07938246428966522,0.7083854784106932,0.9677908420562744,True
8,0.4792652130126953,0.5485832691192627,0.3951272666454315,1.3883710779447347,0.9991003274917603,0.04314224546724034,0.08908975124359131,0.00036116057890467346,0.0002194667176809162,0.0849609375,0.09694670885801315,0.7962268404736963,0.9361613392829895,True
