step,objective,base_grad_norm_h,raw_grad_norm_h,weight,weighted_grad_norm_h,ratio,base_grad_norm_osmf_parameters,objective_grad_norm_osmf_parameters,finite
1,sem_pres,0.00017411753651686013,0.000763355870731175,0.05,3.816779353655875e-05,0.2192070602472361,0.08019015927703145,0.7048295987967201,True
1,struct,0.00017411753651686013,5.399081601353828e-06,0.05,2.699540800676914e-07,0.0015504129217400128,0.08019015927703145,0.0005514695577834607,True
1,orth,0.00017411753651686013,0.00018530646048020571,0.05,9.265323024010286e-06,0.05321303733182597,0.08019015927703145,0.10742779605592974,True
1,rec,0.00017411753651686013,3.6889342275303605e-11,0.1,3.688934227530361e-12,2.1186459905988243e-08,0.08019015927703145,1.0951581269156958e-08,True
2,sem_pres,0.0002216110733570531,0.00040957392775453627,0.05,2.0478696387726814e-05,0.0924082717758597,0.08918680194824712,0.4627326343240198,True
2,struct,0.0002216110733570531,6.564363047800725e-06,0.05,3.282181523900363e-07,0.001481054831498272,0.08918680194824712,0.0007364978833270975,True
2,orth,0.0002216110733570531,0.0002400930825388059,0.05,1.2004654126940296e-05,0.05416991981004866,0.08918680194824712,0.12444231844074354,True
2,rec,0.0002216110733570531,3.731920742211514e-06,0.1,3.7319207422115144e-07,0.0016839956004178545,0.08918680194824712,0.008702980305206274,True
4,sem_pres,0.0002507367171347141,0.0004215880180709064,0.05,2.1079400903545322e-05,0.08406986045107252,0.18870264805280176,0.4689514045704586,True
4,struct,0.0002507367171347141,8.906422408472281e-06,0.05,4.4532112042361405e-07,0.001776050686698208,0.18870264805280176,0.0008292676628615758,True
4,orth,0.0002507367171347141,0.00026951124891638756,0.05,1.347556244581938e-05,0.053743873438509795,0.18870264805280176,0.1510985933705249,True
4,rec,0.0002507367171347141,7.480965450668009e-06,0.1,7.48096545066801e-07,0.0029835939093087625,0.18870264805280176,0.014216376620914612,True
8,sem_pres,0.000185793120181188,0.0006361482082866132,0.05,3.180741041433066e-05,0.17119799813961703,0.1143118620916157,0.3070166780565283,True
8,struct,0.000185793120181188,2.6598865588312037e-05,0.05,1.329943279415602e-06,0.007158194399019882,0.1143118620916157,0.00256097377454812,True
8,orth,0.000185793120181188,0.0001940573420142755,0.05,9.702867100713776e-06,0.05222403843063386,0.1143118620916157,0.06708713413476536,True
8,rec,0.000185793120181188,3.141889828839339e-05,0.1,3.1418898288393397e-06,0.016910689743864768,0.1143118620916157,0.04455855035928046,True
