class,model,components,largest_component_fraction,small_component_fraction,hole_count,hole_area_fraction,perimeter_area_ratio,boundary_length,fragmentation_index,compactness,area_ratio_gt
0,gcqm,1.73069403714565,0.8846260927353377,0.13100097978650738,0.19501466275659823,0.0040295908341539685,0.15761120436070827,799.4203323558162,131.06607606085282,2.11504829647288,9.810435763069338
0,pixel,1.800097751710655,0.8856633338776222,0.1305176740429848,0.20576735092864126,0.0034827776408006077,0.1572330720031382,796.9335288367546,130.58166375070525,2.1195342643455652,9.948676145355419
0,sshr,1.3875855327468232,0.8322967347214495,0.005899481481088243,0.05816226783968719,0.001266777988857654,0.04122931528107226,729.4173998044965,3.735424899964316,1.7684592919947337,15.457278873545034
1,gcqm,1.8868411352746037,0.6198049555470008,2.7546289518484836e-05,0.45890158496129746,0.005286986876894352,0.03171594555152743,747.8138591964615,0.12860035885668694,2.6952466086226825,4.070497006563563
1,pixel,1.889421304828603,0.6229564813289994,3.0382608105008146e-05,0.5057132325838555,0.0051352162726036885,0.03142579340369235,747.2377441946185,0.12716162968900768,2.6735565245433555,4.074226542710573
1,sshr,1.5517876889052709,0.6881165025433247,4.430942625914754e-05,0.21673424253593807,0.004819670250826138,0.02907499467178029,714.4312569111685,0.12159066307887971,2.187064844198152,5.175298514817668
2,gcqm,1.9012605042016806,0.534489993338509,3.254869323877569e-05,0.47794117647058826,0.007297865477459352,0.028090408600646873,723.6271008403361,0.10211194026775307,2.6852456957804853,3.246886670447835
2,pixel,1.9432773109243697,0.5334941067548279,3.693841740162136e-05,0.4842436974789916,0.0072167508878912805,0.028159756567904513,723.9138655462185,0.1041858478475839,2.6936660048595638,3.2588289492753715
2,sshr,1.763655462184874,0.561322521858318,7.565356019946363e-05,0.1207983193277311,0.0015513143398717289,0.028508806470662024,568.3981092436975,0.16983798468005423,1.9389691843007084,6.577155321300525
3,gcqm,0.989769820971867,0.5175187262316204,7.897929597041597e-06,0.6265984654731458,0.0033405596400694596,0.01686768495593896,545.3222506393862,0.03991263292695551,1.4439053851482457,1.7318670450161238
3,pixel,0.9846547314578005,0.5180877759164972,1.1223650909616853e-05,0.6035805626598465,0.0031648190960338433,0.01688239834161465,546.8951406649617,0.039451164952506085,1.4517241974310942,1.7190366442345886
3,sshr,0.9002557544757033,0.5184470361990393,1.2539430088422609e-05,0.07161125319693094,0.00016717438177610974,0.0165826967493122,464.52941176470586,0.04413564310657298,1.1280448240746013,1.9274717025284764
