loss,parameter,images,numel,total_squared_energy,rms,max_abs,nonzero_images,zero_images,finite
PRG_sharedhead,b4_4.conv_branch2a.weight,3418,2359296,20744.586858929582,0.001603892106832876,0.6484375,3418,0,True
PRG_sharedhead,b4_4.bn_branch2b1.weight,3418,512,857.5402279730383,0.02213636165326081,0.8588613867759705,3418,0,True
PRG_sharedhead,b4_4.bn_branch2b1.bias,3418,512,132.39987170291113,0.008698067476690797,0.336514949798584,3418,0,True
PRG_sharedhead,b4_4.conv_branch2b1.weight,3418,2359296,10141.086362432361,0.001121411474896165,0.44921875,3418,0,True
PRG_sharedhead,b4_5.bn_branch2a.weight,3418,512,3311.802113999272,0.04350219590478817,1.5879048109054565,3418,0,True
PRG_sharedhead,b4_5.bn_branch2a.bias,3418,512,403.3935077971902,0.015182505339307872,0.3779858350753784,3418,0,True
PRG_sharedhead,b4_5.conv_branch2a.weight,3418,2359296,24804.43100902622,0.0017538295763848562,0.99609375,3418,0,True
PRG_sharedhead,b4_5.bn_branch2b1.weight,3418,512,1116.7683476659472,0.025261581641534355,1.2201945781707764,3418,0,True
PRG_sharedhead,b4_5.bn_branch2b1.bias,3418,512,77.67972473821654,0.006662432611509475,0.16442298889160156,3418,0,True
PRG_sharedhead,b4_5.conv_branch2b1.weight,3418,2359296,11480.881005131818,0.0011931920826030833,0.390625,3418,0,True
PRG_sharedhead,bn45.weight,3418,512,66.24059050414681,0.006152350764727618,0.3969801962375641,3418,0,True
PRG_sharedhead,bn45.bias,3418,512,131.91516023988515,0.008682131212009017,0.32260894775390625,3418,0,True
PRG_sharedhead,ic1.weight,3418,2048,3192.175860965448,0.021354647120957783,0.72265625,3418,0,True
PRG_sharedhead,ic1.bias,3418,4,190.05073250939904,0.11790134216994262,0.4453125,3418,0,True
