stratum,targets,images,raw_accuracy,teacher_accuracy,repair,harm,net_repair,net_repair_rate,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,mean_gradient_norm,active_fraction,mean_dQ,Deep_Win_targets,Shallow_Win_targets,BRR,HHCR
class0,965133,2018,0.8387413962635202,0.8206682395068866,41476,58919,-17443,-0.01807315675663354,0.7824486366127777,0.21754929113396806,2.072253254214704e-06,0.00010558897082842064,1.3124577435519313e-05,0.0003448073133491761,1.0,-7.27250349082939e-05,43802,88423,1.0,0.9894258281216426
class1,1044692,2676,0.755598779353149,0.8192768777783308,112837,46313,66524,0.06367809842518178,0.8069555428777094,0.1930406282425825,3.828879708086211e-06,0.0003173720341790585,4.8415698074677493e-05,0.0004300961832061744,1.0,-8.98667842751981e-05,121742,82309,1.0,0.9328263008905466
class2,323515,935,0.4546775265443643,0.6341035191567624,67147,9100,58047,0.1794259926123982,0.7489575444724356,0.2510393644807814,3.091046782993061e-06,0.0005026741226755879,7.147641554183792e-05,0.000574052776158666,1.0,-0.0001164311452869625,74850,11749,1.0,0.9676568218571794
class3,145803,384,0.16992791643518995,0.6446369416267155,69585,371,69214,0.4747090251915255,0.797315555921346,0.20268444407865407,0.0,0.0007346799912478698,0.0005954613152425736,0.000650128391398122,1.0,-0.00012748432880091816,74336,418,0.9999730951356005,0.8588516746411483
