metric,estimate,ci_low,ci_high,resamples,valid_resamples,seed
teacher-raw_accuracy_delta,0.07113022524315862,0.06653011347712863,0.07572696033883114,10000,10000,42
teacher_NetRepair_count,176342.0,164899.8,187869.025,10000,10000,42
teacher_NetRepair_rate,0.07113022524315862,0.06653011347712863,0.07572696033883114,10000,10000,42
PRG:all:mean_dm,0.00028364825702851366,0.0002745705501921425,0.0002923716697265741,10000,10000,42
PRG:Top20:mean_dm,0.0008769221800709911,0.0008434896609452165,0.0009099377792151337,10000,10000,42
PRG:class0:mean_dm,0.00010558897082842059,9.230174685522229e-05,0.00011872698546431799,10000,10000,42
PRG:class1:mean_dm,0.0003173720341790582,0.000306373017888478,0.0003282019731478886,10000,10000,42
PRG:class2:mean_dm,0.0005026741226755878,0.0004796055101832316,0.0005243706836290561,10000,10000,42
PRG:class3:mean_dm,0.0007346799912478692,0.0007036982985509347,0.0007662632128233537,10000,10000,42
PRG:Raw_Correct:harm_rate,0.13777209024947817,0.13382109252662666,0.14178987569427243,10000,10000,42
PRG:Raw_Wrong:benefit_rate,0.6069420544969205,0.5979974108517755,0.6157079886132886,10000,10000,42
Deep-Win:BRR,0.9999936453468052,0.999983873874346,1.0,10000,10000,42
Shallow-Win:HHCR,0.962257858162155,0.9600713868078262,0.9643337793323588,10000,10000,42
Shallow-Win:teacher_accuracy,0.37286152466661926,0.36354257470413515,0.3822496860746389,10000,10000,42
PRG:all:benefit_rate,0.7892796018624177,0.7842451287719219,0.7943460612794125,10000,10000,42
PRG:all:harm_rate,0.21071757458121618,0.20565187341140537,0.2157524291324573,10000,10000,42
PRG:Top20:benefit_rate,0.7196771661815508,0.70949509751428,0.7294017459016849,10000,10000,42
PRG:Top20:harm_rate,0.2803125341177585,0.27058484159001744,0.29050087760612264,10000,10000,42
teacher-raw_mIoU_delta,0.1568220096016007,0.14815184915342733,0.16538432913527787,10000,10000,42
