image_id,Uraw,FAraw,PRG,PRG_sharedhead
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,0.060751792043447495,0.13462300598621368,0.19015911221504211,0.19015911221504211
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,0.10351719707250595,0.3193584978580475,0.2400190383195877,0.2400190383195877
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,0.10463142395019531,0.25389009714126587,0.31206774711608887,0.31206774711608887
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,0.21630792319774628,0.42171064019203186,0.4488005042076111,0.4488005042076111
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,0.15631940960884094,0.2959974408149719,0.3318917155265808,0.3318917155265808
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,0.15449810028076172,0.27493664622306824,0.3219340443611145,0.3219340443611145
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,0.12189415097236633,0.26939958333969116,0.24729794263839722,0.24729794263839722
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,0.16329622268676758,0.35971587896347046,0.27352264523506165,0.27352264523506165
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0.21078665554523468,0.4310891330242157,0.35004550218582153,0.35004550218582153
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0.10731787234544754,0.2634813189506531,0.2790035307407379,0.2790035307407379
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,0.11137973517179489,0.3484320342540741,0.2581358253955841,0.2581358253955841
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0.08527857810258865,0.22253407537937164,0.252419114112854,0.252419114112854
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,0.08412852138280869,0.2735287845134735,0.25115200877189636,0.25115200877189636
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,0.07753714919090271,0.2500138282775879,0.27589669823646545,0.27589669823646545
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,0.14460906386375427,0.35649973154067993,0.29429298639297485,0.29429298639297485
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,0.18024922907352448,0.366872638463974,0.42749637365341187,0.42749637365341187
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,0.15466822683811188,0.31609687209129333,0.4255954623222351,0.4255954623222351
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,0.27161741256713867,0.41516390442848206,0.527912437915802,0.527912437915802
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,0.2036023736000061,0.35599464178085327,0.4913006126880646,0.4913006126880646
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,0.2628442347049713,0.40576764941215515,0.5781089067459106,0.5781089067459106
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,0.2896360456943512,0.43246886134147644,0.6230182647705078,0.6230182647705078
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,0.18027962744235992,0.3550693392753601,0.4166097342967987,0.4166097342967987
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,0.1797240823507309,0.3470325767993927,0.40487542748451233,0.40487542748451233
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,0.12687866389751434,0.2837892770767212,0.23005972802639008,0.23005972802639008
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,0.1191144585609436,0.27805963158607483,0.2699904143810272,0.2699904143810272
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120,0.15231822431087494,0.3485693335533142,0.27953508496284485,0.27953508496284485
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121,0.14968006312847137,0.36880627274513245,0.31559255719184875,0.31559255719184875
