stratum,targets,channels,rms,mean_pixel_l2,max_abs,finite
all,2479143,512,5.0496499395408564e-05,0.0005519269235480631,0.01080322265625,True
Top20,485451,512,0.0001027987348667106,0.001763791145401974,0.01080322265625,True
Bottom80,1993692,512,2.4446734376365907e-05,0.0002568458887828121,0.00958251953125,True
Q1,495830,512,1.457479674663311e-07,1.8097335697255694e-06,1.52587890625e-05,True
Q2,495828,512,1.9740541221370115e-06,3.409773316885583e-05,0.0001773834228515625,True
Q3,495829,512,9.336466241100208e-06,0.00017665656383909764,0.000576019287109375,True
Q4,495828,512,3.1061609784608597e-05,0.0006003809694151509,0.0018310546875,True
Q5,495828,512,0.00010813688626801629,0.0019466925935873725,0.01080322265625,True
class0,965133,512,4.636644602783542e-05,0.00045314879886244094,0.0101318359375,True
class1,1044692,512,5.153990291957251e-05,0.0005477838076843669,0.01080322265625,True
class2,323515,512,5.7453779673271576e-05,0.0007198824007852123,0.00677490234375,True
class3,145803,512,5.2618588188570525e-05,0.0008627997560117898,0.005767822265625,True
