model,accuracy,miou,dice,nll,brier,iou_class0,iou_class1,iou_class2,iou_class3
raw,0.7142532721993043,0.4363486817386499,0.5817299492959925,0.7848371842367721,0.4062494586450678,0.6261773260311272,0.5868296236822933,0.37557864312177486,0.1568091341194043
FixedAvg,0.7740868517870894,0.573520035544036,0.7235312365126652,0.6812924483897358,0.34149795408607586,0.6993988747249914,0.6409637927061812,0.5142909481460662,0.4394265265989048
teacher,0.7853834974424629,0.5931706913402506,0.7405183228140985,0.6596629256396159,0.3269900010684523,0.7088930476832324,0.654297157194087,0.5220203726935673,0.4874721877901157
