stratum,targets,images,raw_accuracy,teacher_accuracy,repair,harm,net_repair,net_repair_rate,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,mean_gradient_norm,active_fraction,mean_dQ,Deep_Win_targets,Shallow_Win_targets,BRR,HHCR
Deep-Win,314730,3396,0.0,0.9201792012200934,289608,0,289608,0.9201792012200934,1.0,0.0,0.0,0.0020043314670874566,0.0014957618259359151,0.0014627533551350956,1.0,-0.00032198095623625476,314730,0,0.9999936453468052,nan
Shallow-Win,182899,3194,1.0,0.37286152466661926,0,114703,-114703,-0.6271384753333807,0.037720271844023205,0.9622687931590659,1.0934996910863373e-05,-0.0012107107868873615,-0.0008682342304382473,0.0011413141753218996,1.0,-0.00022689052979244488,0,182899,nan,0.962257858162155
Both-Wrong,393677,3218,0.0,0.003650200545116936,1437,0,1437,0.003650200545116936,0.29270696535484675,0.707282874031249,1.0160613904292098e-05,-3.518063837227058e-05,-2.9931213703093817e-05,0.00038189729533543386,1.0,-7.605916536075456e-05,0,0,nan,nan
Stable-Correct,1587837,3412,1.0,1.0,0,0,0,0.0,0.9571990072028804,0.04280036300955325,6.297875663559925e-07,0.00019376607839557687,4.197803900751751e-05,0.0001531306714486497,1.0,-2.9946020824160746e-05,0,0,nan,nan
