teacher-raw_accuracy_delta,teacher_NetRepair_count,teacher_NetRepair_rate,PRG:all:mean_dm,PRG:Top20:mean_dm,PRG:class0:mean_dm,PRG:class1:mean_dm,PRG:class2:mean_dm,PRG:class3:mean_dm,PRG:Raw_Correct:harm_rate,PRG:Raw_Wrong:benefit_rate,Deep-Win:BRR,Shallow-Win:HHCR,Shallow-Win:teacher_accuracy,PRG:all:benefit_rate,PRG:all:harm_rate,PRG:Top20:benefit_rate,PRG:Top20:harm_rate,teacher-raw_mIoU_delta
0.07498921653598856,186022.0,0.07498921653598856,0.0002930131276949345,0.0009153408544787762,0.00011258125493451975,0.0003156190687390374,0.0005170354134943364,0.0007432802935086164,0.13496373326694805,0.608822333459527,0.9999844230451701,0.9602633395632335,0.37580890482845325,0.791374035031141,0.20862515872855905,0.7279640119272397,0.2720359880727603,0.16411819270611605
0.0696900451398371,173531.0,0.0696900451398371,0.0002809943787923657,0.0008713977983493206,0.0001079598100995367,0.00031825425033818385,0.0005031867426958982,0.0007257951904120398,0.13543375454248818,0.6025572920236708,0.9999967845555774,0.9632927484136813,0.37130269920766257,0.7908800661836758,0.20911712261650414,0.7163352053921956,0.28365022335646695,0.1551887107172077
0.06936703681374687,172243.0,0.06936703681374687,0.0002836679157632495,0.0008862307844681889,0.0001081617129993491,0.00031566890686907925,0.0005004422547521122,0.0007296865584484737,0.13681225707811145,0.6024994192667463,1.0,0.9620468661617965,0.37045355944489905,0.7890656997978709,0.21093188383559525,0.7179496789346126,0.2820419925209671,0.1506891525083643
0.07084200276697328,175993.0,0.07084200276697328,0.00027692224951571964,0.0008450965696714457,9.573463575731698e-05,0.00030525604357748776,0.0005091058409282825,0.0007224034657473853,0.1424150077712998,0.6044615146197115,0.9999968604107211,0.9635422748261769,0.3718539355660528,0.784604776470503,0.21539361341994112,0.7142097096884477,0.28578624443945455,0.15842608526948998
0.06929289445656032,170781.0,0.06929289445656032,0.00028227296457502074,0.0008671336306950886,0.00010819772684970034,0.00031847571723474325,0.0004995073444383861,0.0007389526930027566,0.13750248440135696,0.6072449993272316,0.9999967497432297,0.9629649887598659,0.37828657692791545,0.7901449510574631,0.2098534259775828,0.7162999789988918,0.2836917037305038,0.15255171711989818
0.07210862193459638,178857.0,0.07210862193459638,0.0002865673645915691,0.0008866010195087192,0.00010797434405508948,0.0003188787849362123,0.0004897274400599793,0.0007371507442637835,0.13762745856497735,0.6068321015641447,0.999996850195288,0.9606932499918043,0.37229950497754366,0.7884758120016143,0.21152096269003617,0.7220557408241135,0.27793407336634895,0.1575223925470557
0.06940512201342325,171992.0,0.06940512201342325,0.00028251569215565197,0.0008775658387004465,0.0001119187995948009,0.0003064146520420079,0.0005054423997126806,0.0007448590028117121,0.13650846511795361,0.6043743932385358,1.0,0.9613709690671954,0.37649063032367974,0.7902503865883698,0.20974598157934665,0.7171035388005779,0.28288388028843836,0.151771428442235
0.073821706863069,183224.0,0.073821706863069,0.0002885677897222423,0.0008957919026227744,0.000113558276122978,0.0003189233594981522,0.0005114780900293668,0.0007616845988547914,0.13523875309139657,0.6144006093920255,0.9999874652552544,0.9623899111480475,0.3746674326638295,0.7943122023545718,0.2056861860288963,0.7240627598274229,0.2759310353385978,0.16518982546712918
0.06776114351397668,167773.0,0.06776114351397668,0.00027744837005955035,0.0008594666832564516,0.0001058757963482762,0.0003169457936744225,0.0004930906377108985,0.0007368315364489104,0.13890208002304635,0.5992293808567556,0.9999934993174283,0.962466718661754,0.3705026490600543,0.787203037867935,0.2127941349309981,0.7127033705891945,0.28728617602662687,0.15418637953736525
0.06928842189239735,172314.0,0.06928842189239735,0.00028001372772335176,0.0008670170854143222,0.0001023212470437058,0.0003184019197406835,0.0004859009538748601,0.0007296905600642681,0.13897857791488394,0.5989320966762978,0.9999968123629316,0.9626769696314709,0.36187182535393925,0.7856636491323165,0.2143347424453408,0.7154575027657029,0.2845383846650518,0.15244407134186566
