epoch,step,loss,loss_deep,loss_pca,loss_mask,loss_pca_stage1,loss_pca_stage2,loss_pca_stage3,loss_mask_stage1,loss_mask_stage2,loss_mask_stage3,lr,epoch_seconds,peak_cuda_memory_gib
1,1171,0.36762129699288015,0.3238510398224416,0.34355046799252115,0.47923264113580133,0.3495014610578625,0.34513383296999944,0.3402200408159007,0.3536379489440067,0.5125838137405943,0.5094597999302369,0.0096395778991375,203.9993308801204,5.78412389755249
2,2342,0.26911064265987794,0.2618136057466345,0.2697421643313539,0.2830731937968761,0.27664905564460257,0.26989498373715926,0.26688770780595933,0.13298181494670888,0.3335582327374427,0.31281871340348105,0.00927734178871898,194.62706783600152,5.78412389755249
3,3513,0.24251737907516152,0.2412891561765125,0.25007963340878997,0.23741157176044636,0.256203166230635,0.2501060502598878,0.24761436221744137,0.0887667107961302,0.29040681309266336,0.26507236367611675,0.008913526845035089,195.06305761588737,5.78412389755249
4,4684,0.225876660637373,0.23143737196896852,0.2400972906795961,0.20053460535511414,0.24598054177454656,0.24040434571232783,0.2375597489900715,0.0723985304974853,0.24891779406980813,0.22275911603698764,0.008548053896321633,194.878381309798,5.78412389755249
5,5855,0.2060734487300139,0.2235036570671071,0.2325624421137098,0.14472403873575743,0.23814548993599302,0.2326316710507432,0.2302876790169464,0.05861534425284138,0.17679369953531776,0.15992571528679686,0.008180835826588701,194.92859974806197,5.7843451499938965
6,7026,0.19503190172446477,0.21642752082733696,0.22706240829777047,0.12021015728899397,0.23239175233445952,0.2276190968403747,0.22459665045816607,0.04941522575164076,0.14429087399876495,0.13407969598226524,0.00781177633935498,195.17817779979669,5.7843451499938965
7,8197,0.18799486599169055,0.211002321113744,0.222203418357977,0.1077714028118463,0.2274306130195458,0.2228268355983735,0.21973848249365588,0.04290406591076814,0.1272451701668671,0.12203407371583706,0.007440768453370394,195.3381131850183,5.7843451499938965
8,9368,0.18227489074385136,0.2058516804424745,0.21874512188664672,0.09865108105957661,0.22434011013282862,0.21925098402544946,0.21620360313955278,0.03715184105386803,0.11603740122356952,0.1128189820035923,0.007067692653980677,195.80199613492005,5.7843451499938965
9,10539,0.1782648332105245,0.20164014273072592,0.2152226282797442,0.09455641777112278,0.22073964058818418,0.21628957970925217,0.21237564616280677,0.03428422530872841,0.11105748507123438,0.10876465147245042,0.006692414596220688,196.33759971009567,5.7843451499938965
10,11710,0.1749505935686964,0.19755990264331247,0.2119696364951989,0.09271293203485613,0.21805811422080895,0.2123281276959013,0.20931914419470232,0.034508098050455675,0.10882384993651298,0.10632831199264853,0.006314782215834666,196.49897408508696,5.784631252288818
11,12881,0.17117054654201008,0.1921740909903147,0.20885604164419166,0.0914779625432192,0.21488839380258581,0.20951381800370172,0.2060484284142161,0.0343252871150547,0.10716748746934353,0.10492531484093146,0.0059346220455006315,196.53623711899854,5.784631252288818
12,14052,0.16820373917420026,0.1886904949527536,0.20575342511871145,0.08968054232156551,0.21172654680290556,0.20696902033943687,0.20263481245755538,0.03482521546290381,0.10484680944749883,0.1025229098766813,0.005551734444467287,196.50098170503043,5.784631252288818
13,15223,0.16556471007232682,0.18550031078958695,0.20326685285105042,0.08799136571592495,0.20940882844308012,0.20401965399820718,0.20035837426539876,0.03420897701040967,0.10253892153705113,0.10077578492978004,0.005165887311612215,196.53850067406893,5.784631252288818
14,16394,0.1629613269912596,0.1814954659394939,0.19988454882784037,0.08896982742681858,0.2061020656020391,0.20078952347081916,0.19685455100542454,0.03486996616716445,0.10404399981567942,0.10156526555880636,0.004776807631040712,196.53417929494753,5.784631252288818
15,17565,0.16052602780593145,0.17885111122178177,0.1978217898195977,0.08658009802844664,0.2042700103034737,0.19836307705772116,0.1949177223785019,0.03487027735297467,0.10094675055548333,0.09864403203091593,0.004384169834043774,196.50550993392244,5.784631252288818
16,18736,0.1577857112930332,0.17484203715236854,0.19480942923298866,0.08664934207660636,0.20155443555900524,0.19530932917032967,0.19181148032160725,0.03512024634575788,0.1008957326380388,0.09871314316797114,0.003987579332698093,196.56479260488413,5.785215854644775
17,19907,0.15629752166728297,0.17265170708260508,0.19357972655741199,0.0863069455011292,0.2002793206275782,0.19414476903328826,0.1905608573192007,0.035767794286881524,0.10008700408302343,0.09825456825130317,0.003586548447294412,196.64803830790333,5.785215854644775
18,21078,0.15342386889595133,0.16934550896503292,0.1903599113493165,0.08464454785052983,0.19705198215914016,0.19103273704813445,0.18727938117289217,0.03506184720301429,0.09803584482390386,0.09644284720964456,0.0031804597898155928,196.5313980600331,5.785215854644775
19,22249,0.15101159475330203,0.16605340286669418,0.18789003088904893,0.08404954203764767,0.1950095636685825,0.18852078092597063,0.18466376186842393,0.034742023251047256,0.09723471344331713,0.09586144392048569,0.0027685077578096895,196.6418169150129,5.785215854644775
20,23420,0.14941167843191672,0.16406563676760097,0.18565499408442582,0.08386044546859983,0.19273673442059558,0.1865353212046837,0.18229409555700168,0.03491866313251901,0.09677868314488233,0.0956862132636835,0.002349598995662471,196.46206834795885,5.785215854644775
21,24591,0.14641916749316541,0.1598986887478808,0.18214861294024018,0.08373067938077663,0.18988651807088305,0.18252376210577564,0.17882835572978353,0.03538886842140522,0.09632719332315695,0.09550949285024767,0.0019221683515699744,196.51851512817666,5.785215854644775
22,25762,0.1441322100165051,0.1570604341048954,0.1793274715046512,0.08308049950853665,0.18675237811344694,0.17994932477210548,0.17598439115525105,0.03571905102421721,0.09531182197998672,0.09468628283523271,0.0014837965879669016,196.6221374780871,5.785215854644775
23,26933,0.14217553120408682,0.15480014600375083,0.17781381627479545,0.08128801678219073,0.1855275800959052,0.1783425167909196,0.17441108421661933,0.03444812198851121,0.09344400837063077,0.09273037733072709,0.0010302623906800023,196.59799473406747,5.785215854644775
24,28104,0.1406822290230164,0.15233895856406726,0.17558810672858757,0.08246289202537829,0.18364393658280678,0.17590009371482032,0.1721785773994778,0.035559659592336465,0.0943344302481815,0.09410125980460675,0.0005523160161440768,196.5952773001045,5.785215854644775
25,29275,0.13824976984185605,0.1499332808384419,0.17279177132348134,0.08034074608392434,0.18092260546632347,0.17326064143778422,0.16925811002796068,0.03418716738107085,0.09245431178864202,0.091534035441002,9.55328615544644e-07,196.61001961608417,5.785215854644775
