image,foreground_pixels,corrected,harmed,net_correction,class0_corrected,class0_harmed,class0_net,class1_corrected,class1_harmed,class1_net,class2_corrected,class2_harmed,class2_net,class3_corrected,class3_harmed,class3_net
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+136,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+137,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+138,45551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+139,39412,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14,50176,2490,108,2382,0,0,0,226,45,181,2264,63,2201,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+140,46179,410,135,275,1,112,-111,409,23,386,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141,50176,607,11611,-11004,0,11177,-11177,435,434,1,172,0,172,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+142,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+143,50176,811,2176,-1365,204,664,-460,351,1447,-1096,256,65,191,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+144,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+145,50176,503,160,343,439,0,439,0,0,0,64,160,-96,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146,50176,16,0,16,16,0,16,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147,50176,64,0,64,64,0,64,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,50176,507,1450,-943,0,0,0,458,118,340,49,1332,-1283,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,50176,899,2299,-1400,0,0,0,157,155,2,742,2144,-1402,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+15,49984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,50176,80,196,-116,0,0,0,32,82,-50,48,114,-66,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,50176,794,791,3,0,0,0,300,41,259,494,750,-256,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+152,39929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+153,43045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,46585,708,878,-170,122,279,-157,586,599,-13,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155,49907,631,456,175,2,456,-454,629,0,629,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,50176,615,1218,-603,0,0,0,97,685,-588,518,533,-15,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157,50176,3854,8980,-5126,0,359,-359,3854,0,3854,0,8621,-8621,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,50176,3001,535,2466,0,0,0,30,436,-406,2971,99,2872,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,50176,1036,868,168,0,0,0,318,0,318,718,868,-150,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+16,47531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,50176,895,676,219,0,0,0,0,63,-63,895,613,282,0,0,0
