stage,gt_class,gt_class_name,group,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,corrected_minus_harmed_mean,cohen_d_exact_moments,welch_p_on_reservoir,mann_whitney_p_on_reservoir,statistical_warning
stage1,0,tumor,HARMED_BY_FAMPR,morphology,1158456,0.3823939186027587,0.037390572649083076,0.1705780029296875,0.3425496518611908,0.3613993227481842,0.3825581967830658,0.4054056704044342,0.4273274838924408,0.5457966923713684,"deterministic sampled reservoir, max=20000, stride=64",0.002088690456434672,0.05881372358234603,2.84285367494922e-07,0.1686020901768609,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,dilation,1158456,4.70562174821205,0.22435729208824026,3.7255859375,4.437662601470947,4.567708492279053,4.701171875,4.832845211029053,4.947265625,5.9765625,"deterministic sampled reservoir, max=20000, stride=64",-0.012501560493635822,-0.05866027207840286,2.882448088995979e-07,0.17088655646167183,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,band_weight_0,1158456,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,band_weight_1,1158456,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,band_weight_2,1158456,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,band_weight_3,1158456,1.125,0.0,1.125,1.125,1.125,1.125,1.125,1.125,1.125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,high_frequency_ratio,1158456,0.40555729112992683,0.04169279248955366,0.16222195327281952,0.36044536232948304,0.38171443343162537,0.40517035126686096,0.4308568239212036,0.45602713227272035,0.5973257422447205,"deterministic sampled reservoir, max=20000, stride=64",0.0019085493555816013,0.04793681131054012,7.948618954700478e-05,0.49033896652388465,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,g_low,1158456,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,g_high,1158456,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,g_high_over_low,1158456,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,g_low_channel_std,1158456,0.0006866455078125,0.0,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,g_high_channel_std,1158456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,anchor_lambda,1158456,0.341796875,0.0,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,0,tumor,HARMED_BY_FAMPR,gamma_context,1158456,1.1953125,0.0,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
