stage,gt_class,gt_class_name,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,correlation_with_morphology,correlation_with_high_frequency_ratio
stage1,1,stroma,gamma_context,66845621,1.1953125,0.0,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,1,stroma,r_fa,66845621,0.7462491953952279,0.05166143729086472,0.5269840359687805,0.6965129911899567,0.7273636609315872,0.7702137529850006,0.7989009320735931,0.8180384635925293,1.4859174489974976,"deterministic sampled reservoir, max=20000, stride=64",0.09240202201558669,0.07905617060435052
stage1,1,stroma,r_mpr,66845621,0.2554145033333347,0.017681869359824243,0.1803678721189499,0.23839159458875656,0.24895066767930984,0.26361672580242157,0.2734353169798851,0.2799854397773743,0.5085766315460205,"deterministic sampled reservoir, max=20000, stride=64",0.0924020359752611,0.07905618347790266
stage1,2,normal,morphology,20708801,0.41375725050212814,0.0349852475398735,0.1893717497587204,0.3699239194393158,0.3905741274356842,0.4137166440486908,0.437896728515625,0.46056214272975926,0.5744832158088684,"deterministic sampled reservoir, max=20000, stride=64",0.999999999951245,0.9780683264514729
stage1,2,normal,dilation,20708801,4.517474408057006,0.209936495114755,3.556884765625,4.2372884273529055,4.372395992279053,4.515299320220947,4.65625,4.784033346176148,5.864908695220947,"deterministic sampled reservoir, max=20000, stride=64",-0.9996711609586008,-0.9777363598862598
stage1,2,normal,band_weight_0,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,band_weight_1,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,band_weight_2,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,band_weight_3,20708801,1.125,0.0,1.125,1.125,1.125,1.125,1.125,1.125,1.125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,high_frequency_ratio,20708801,0.43731719126589064,0.040236167528832356,0.19469834864139557,0.38757575750350953,0.41057369112968445,0.4362442195415497,0.46404194086790085,0.4919576674699784,0.6366727948188782,"deterministic sampled reservoir, max=20000, stride=64",0.9780683264514729,0.9999999999971884
stage1,2,normal,g_low,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,g_high,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,g_high_over_low,20708801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,g_low_channel_std,20708801,0.0006866455078125,0.0,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,2,normal,g_high_channel_std,20708801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
