group,estimator,targets,accuracy,miou,dice,class0_iou,class1_iou,class2_iou,class3_iou,nll,brier,accuracy_minus_fixed_average,miou_minus_fixed_average,accuracy_minus_shallow,miou_minus_shallow,accuracy_minus_deep,miou_minus_deep
all,shallow,2479143,0.7142532721993043,0.4363486817386499,0.5817299492959925,0.6261773260311272,0.5868296236822933,0.37557864312177486,0.1568091341194043,0.7848371981369142,0.4062494586077517,-0.05983357958778501,-0.1371713538053861,0.0,0.0,-0.0531760370418326,-0.12993694605544542
all,deep,2479143,0.767429309241137,0.5662856277940953,0.7173329225242939,0.694273268505836,0.630486511651967,0.5178261726448561,0.42255655837372197,1.7849333004321561,0.40958963479842336,-0.006657542545952411,-0.007234407749940663,0.0531760370418326,0.12993694605544542,0.0,0.0
all,fixed_average,2479143,0.7740868517870894,0.573520035544036,0.7235312365126652,0.6993988747249914,0.6409637927061812,0.5142909481460662,0.4394265265989048,0.6812924611902088,0.34149795400089744,0.0,0.0,0.05983357958778501,0.1371713538053861,0.006657542545952411,0.007234407749940663
all,anchor,2479143,0.7792918762653062,0.56908695657968,0.7184048030759485,0.7013353257715503,0.6512152429918908,0.5136758576178269,0.410121399937452,0.6698779148689742,0.33483175032222556,0.005205024478216802,-0.004433078964355963,0.06503860406600181,0.13273827484103012,0.011862567024169213,0.0028013287855847002
all,context_only,2479143,0.7813946190276236,0.489692042270629,0.6142602017599895,0.7254256331190132,0.6699059783491638,0.46526886695006736,0.09816769066427167,0.6439726340866461,0.3363639825717227,0.00730776724053428,-0.08382799327340695,0.06714134682831929,0.053343360531979134,0.01396530978648669,-0.07659358552346629
Top20,shallow,485451,0.35385239704934174,0.19023837272164,0.31605326587622223,0.23083426977456759,0.25610256817790494,0.15236664532335123,0.12165000761073622,1.411214278981304,0.785455341091544,-0.24594861273331398,-0.24510575848325014,0.0,0.0,-0.2414661829927222,-0.23909894518744337
Top20,deep,485451,0.595318580042064,0.42933731790908336,0.5944749138492789,0.29543659143428797,0.38562659925632164,0.5129226157130529,0.523363465232671,3.2098511517226007,0.7425554145590838,-0.004482429740591765,-0.006006813295806768,0.2414661829927222,0.23909894518744337,0.0,0.0
Top20,fixed_average,485451,0.5998010097826557,0.43534413120489013,0.6011146790448701,0.3093004669162495,0.3955021883240195,0.5025217966263281,0.5340520729529631,1.0037874785624195,0.5523518835595027,0.0,0.0,0.24594861273331398,0.24510575848325014,0.004482429740591765,0.006006813295806768
Top20,anchor,485451,0.6129454878041244,0.44990195380035414,0.6180850160957974,0.3528960984820618,0.44382348116148085,0.4958402526781935,0.5070479828796802,0.9855907810660846,0.5395232505764977,0.013144478021468675,0.01455782259546401,0.25909309075478265,0.2596635810787141,0.01762690776206044,0.020564635891270777
Top20,context_only,485451,0.5680140735110237,0.35320897254495737,0.49983808399395013,0.4372716317651443,0.45277800709981014,0.43517334808906866,0.08761290322580645,0.976538102428969,0.5429625915704595,-0.03178693627163198,-0.08213515865993276,0.214161676461682,0.16297059982331738,-0.027304506531040218,-0.076128345364126
Bottom80,shallow,1993692,0.8020085349191349,0.5269703915405549,0.6642972905290854,0.733867911807347,0.682580219645377,0.47635001167397373,0.21508342303552205,0.6323184639126759,0.313915299240287,-0.014515782778884656,-0.024999462878518952,0.0,0.0,-0.007328614449975235,-0.018538553560267013
Bottom80,deep,1993692,0.8093371493691102,0.5455089451008219,0.6801953802448552,0.7501816307648362,0.690485571513542,0.520191654554352,0.22117692357055765,1.4379750963430595,0.32851463888601934,-0.007187168328909421,-0.0064609093182519395,0.007328614449975235,0.018538553560267013,0.0,0.0
Bottom80,fixed_average,1993692,0.8165243176980196,0.5519698544190739,0.686038408195299,0.7564918941104043,0.7012278373358657,0.5199934435512111,0.23016624267881441,0.6027670276335927,0.2901563972518336,0.0,0.0,0.014515782778884656,0.024999462878518952,0.007187168328909421,0.0064609093182519395
Bottom80,anchor,1993692,0.819796137016149,0.5556285672994121,0.6894538256851048,0.7595774790773648,0.7054842740896906,0.5219110477987469,0.2355414682318462,0.5930038908932275,0.28499070492005835,0.0032718193181293653,0.003658712880338255,0.01778760209701402,0.028658175758857207,0.010458987647038787,0.010119622198590195
Bottom80,context_only,1993692,0.8333513902849587,0.5277038768223345,0.6449702120510622,0.7842181191254144,0.7317676252414568,0.47847528938940403,0.11635447353306283,0.5629951113939489,0.28605856862762014,0.016827072586939162,-0.02426597759673932,0.03134285536582382,0.0007334852817796333,0.024014240915848584,-0.01780506827848738
hard_disagreement,shallow,587701,0.31121097292670935,0.1344965977371325,0.22393422074530975,0.2365010163688884,0.21836448821279056,0.0785865261130137,0.004534360253837392,1.3954454720537126,0.7827148121450335,-0.2524004553335795,-0.2665147589913266,0.0,0.0,-0.22431644662847267,-0.23832453425919178
hard_disagreement,deep,587701,0.535527419555182,0.3728211319963243,0.5370581772692382,0.23960002844436665,0.3515141365610274,0.4570294611509693,0.4431409018289339,2.680228281955698,0.7608170317943413,-0.028084008705106855,-0.02819022473213484,0.22431644662847267,0.23832453425919178,0.0,0.0
hard_disagreement,fixed_average,587701,0.5636114282602889,0.4010113567284591,0.5694212700971695,0.304101674749695,0.3852241573581993,0.4451358732148453,0.46958372159109685,1.0222303563274766,0.5689174498279979,0.0,0.0,0.2524004553335795,0.2665147589913266,0.028084008705106855,0.02819022473213484
hard_disagreement,anchor,587701,0.5855681715702372,0.4153503503595657,0.5859825896194005,0.3531598006297338,0.43520172475583363,0.4389786851286524,0.43406119092404294,1.001413833804235,0.5528570808917331,0.021956743309948346,0.014338993631106578,0.27435719864352787,0.2808537526224332,0.0500407520150552,0.04252921836324142
hard_disagreement,context_only,587701,0.5898424539008782,0.3529509312367702,0.4948299751511515,0.47040823632711665,0.4752297466415036,0.4004596449362983,0.06570609704216207,0.9495342317992219,0.5268974721800538,0.026231025640589323,-0.04806042549168893,0.27863148097416884,0.2184543334996377,0.05431503434569618,-0.01987020075955409
adjudication,shallow,497629,0.3675408788474948,0.16509279802896334,0.26565991571484626,0.2977566304333185,0.2518411768845482,0.10534763194232735,0.005425752855659397,1.2565403639281825,0.7233720287294919,-0.2954450001909053,-0.35913734246640727,0.0,0.0,-0.2649182423050103,-0.3246001713239631
adjudication,deep,497629,0.6324591211525051,0.4896929693529265,0.6439134680889926,0.28101803437502004,0.4250916582282901,0.6388426577902957,0.6138195270181002,1.9634764081636469,0.6026937058984535,-0.030526757885894984,-0.034537171142444145,0.2649182423050103,0.3246001713239631,0.0,0.0
adjudication,fixed_average,497629,0.6629858790384001,0.5242301404953706,0.6801019514320243,0.36518373126074827,0.46298279994411146,0.623819390253747,0.6449346405228759,0.7512750211959538,0.458677588106354,0.0,0.0,0.2954450001909053,0.35913734246640727,0.030526757885894984,0.034537171142444145
adjudication,anchor,497629,0.6884586710179672,0.5379808036883497,0.6973185418794957,0.4411279026067943,0.5317183693752237,0.6169241976918063,0.5621527450795744,0.7551193674478859,0.45238355527978746,0.02547279197956709,0.013750663192979018,0.3209177921704724,0.3728880056593863,0.05599954986546207,0.04828783433542316
adjudication,context_only,497629,0.6352041380225028,0.40208138893996076,0.5427584822546204,0.5186709996876122,0.5150752587017874,0.49692944795278415,0.07764984941765944,0.8711469098443412,0.4859935979811613,-0.027781741015897365,-0.12214875155540988,0.26766325917500794,0.23698859091099742,0.0027450168699976185,-0.08761158041296574
Deep_Win,shallow,314730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6870925720290704,0.9940557717828139,-0.9169573920503289,-0.8418903450585404,0.0,0.0,-1.0,-1.0
Deep_Win,deep,314730,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10321494400377186,0.04718402683328136,0.08304260794967111,0.15810965494145957,1.0,1.0,0.0,0.0
Deep_Win,fixed_average,314730,0.9169573920503289,0.8418903450585404,0.9119736161466663,0.7226500947221189,0.8318055996732767,0.8598923734486843,0.9532133123900814,0.5753332510089161,0.3106477537355481,0.0,0.0,0.9169573920503289,0.8418903450585404,-0.08304260794967111,-0.15810965494145957
Deep_Win,anchor,314730,0.8206558002097035,0.6866011547502373,0.8117442896984902,0.5921111674024752,0.720994861747006,0.7927642182080739,0.6405343716433942,0.6775408247830139,0.3852299322126753,-0.09630159184062537,-0.15528919030830313,0.8206558002097035,0.6866011547502373,-0.17934419979029648,-0.3133988452497627
Deep_Win,context_only,314730,0.5841165443395927,0.3830534483936971,0.5229810234026175,0.3825358874462998,0.4934415957116303,0.577958713494692,0.07827759692216632,0.9470748265282125,0.5259313525218638,-0.3328408477107362,-0.45883689666484334,0.5841165443395927,0.3830534483936971,-0.4158834556604073,-0.6169465516063029
Shallow_Win,shallow,182899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.515652242858125,0.257583290403027,0.7740446913323746,0.90196472073205,0.0,0.0,1.0,1.0
Shallow_Win,deep,182899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.164587899287369,1.5586068672179885,-0.2259553086676253,-0.09803527926794998,-1.0,-1.0,0.0,0.0
Shallow_Win,fixed_average,182899,0.2259553086676253,0.09803527926794998,0.1719082833939138,0.17837712805329387,0.1310234505292536,0.08150711264898117,0.0012334258402713536,1.0540331190038499,0.713405223421603,0.0,0.0,-0.7740446913323746,-0.90196472073205,0.2259553086676253,0.09803527926794998
Shallow_Win,anchor,182899,0.46097572977435636,0.1951911163966964,0.301352220497191,0.3432175945481682,0.3254886868628191,0.10737903979077153,0.004679144385026738,0.8886154211874645,0.5679405555253448,0.23502042110673105,0.09715583712874641,-0.5390242702256436,-0.8048088836033036,0.46097572977435636,0.1951911163966964
Shallow_Win,context_only,182899,0.7231149432200286,0.328537977258725,0.4261389361852518,0.6491926645722218,0.5532112391048073,0.10038436899423446,0.011363636363636364,0.7404912298356215,0.41726927752782195,0.49715963455240325,0.23050269799077505,-0.27688505677997144,-0.671462022741275,0.7231149432200286,0.328537977258725
Deep_Correct,shallow,1902567,0.8345761279366246,0.5838905845930338,0.7113982366892919,0.7756694975877111,0.7430376248319898,0.5756391335598814,0.241216082392553,0.47971808075989375,0.24811974776435755,-0.15168664231009998,-0.3828619138010494,0.0,0.0,-0.1654238720633754,-0.4161094154069662
Deep_Correct,deep,1902567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04692563350644543,0.020143903252369633,0.013737229753275404,0.03324750160591683,0.1654238720633754,0.4161094154069662,0.0,0.0
Deep_Correct,fixed_average,1902567,0.9862627702467246,0.9667524983940832,0.9830596610403033,0.979853515185421,0.9735023192470698,0.9489113800452535,0.9647427790985887,0.19993609258270043,0.08130131082421906,0.0,0.0,0.15168664231009998,0.3828619138010494,-0.013737229753275404,-0.03324750160591683
Deep_Correct,anchor,1902567,0.9703321880385816,0.8922804556250742,0.9402319440998517,0.9643375573776923,0.9511556276323926,0.9245062351753129,0.7291224023148991,0.22455554746256576,0.09750715261972709,-0.01593058220814303,-0.07447204276900898,0.13575606010195695,0.3083898710320404,-0.029667811961418433,-0.10771954437492581
Deep_Correct,context_only,1902567,0.8788352788627155,0.6217458094681126,0.7193798644267724,0.85694986800132,0.807136398972487,0.6779325813416722,0.14496438955697163,0.501527342155311,0.24550061918275454,-0.10742749138400909,-0.34500668892597053,0.044259150926090896,0.03785522487507886,-0.12116472113728449,-0.37825419053188736
Deep_Wrong,shallow,576576,0.31721577034077036,0.13375575766630318,0.22293804050004273,0.2434922689283895,0.2091391169348589,0.07506101222800046,0.007330632573963978,1.791659479658597,0.9280408088723888,0.24326021201021203,0.10464962836563911,0.0,0.0,0.31721577034077036,0.13375575766630318
Deep_Wrong,deep,576576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.519955279910746,1.6946701742769676,-0.07395555833055834,-0.02910612930066407,-0.31721577034077036,-0.13375575766630318,0.0,0.0
Deep_Wrong,fixed_average,576576,0.07395555833055834,0.02910612930066407,0.055637269276898375,0.05742118386848915,0.04340788510206441,0.015138935314477955,0.0004565129176247802,2.2696567742252314,1.200086495353162,0.0,0.0,-0.24326021201021203,-0.10464962836563911,0.07395555833055834,0.02910612930066407
Deep_Wrong,anchor,576576,0.14890318015318016,0.055483873820877355,0.10134012216069802,0.10556342348644263,0.09890324729034407,0.016676894404291105,0.0007919301024316149,2.1393383859765245,1.117947849287581,0.07494762182262182,0.026377744520213284,-0.1683125901875902,-0.07827188384542583,0.14890318015318016,0.055483873820877355
Deep_Wrong,context_only,576576,0.45986305361305363,0.20511211897165954,0.31161604112187435,0.3942716026587888,0.3132964984944926,0.11041487106617905,0.0024655036671777236,1.1140090416615787,0.6361919960389139,0.3859074952824953,0.17600598967099546,0.14264728327228327,0.07135636130535636,0.45986305361305363,0.20511211897165954
Top20_Deep_Correct,shallow,288998,0.23680786718247185,0.13828954868200607,0.24216295892459597,0.09846165572083689,0.1475184338062411,0.16412735618712765,0.14305074901381865,1.5558281976049024,0.8939829242614834,-0.7325794642177454,-0.79585313519994,0.0,0.0,-0.7631921328175282,-0.861710451317994
Top20_Deep_Correct,deep,288998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.040395011611843425,0.01590295598980992,0.030612668599782733,0.0658573161180539,0.7631921328175282,0.861710451317994,0.0,0.0
Top20_Deep_Correct,fixed_average,288998,0.9693873314002173,0.9341426838819461,0.9655803334112483,0.8782461380709302,0.9343322450248757,0.9442394902229545,0.9797528622090241,0.4918884704247549,0.24683612320752712,0.0,0.0,0.7325794642177454,0.79585313519994,-0.030612668599782733,-0.0658573161180539
Top20_Deep_Correct,anchor,288998,0.8695873327843099,0.7653314405747922,0.8651139373183647,0.6928552550436085,0.7890279854018256,0.8759315323707498,0.703510989482985,0.6096675193539914,0.331413442884482,-0.09979999861590738,-0.1688112433071539,0.6327794656018381,0.6270418918927861,-0.13041266721569011,-0.2346685594252078
Top20_Deep_Correct,context_only,288998,0.579197779915432,0.3964080921577159,0.5388362739679399,0.3977140768139005,0.48062814055303676,0.6078094054038425,0.09948074586008372,0.9559388807452535,0.5287640246109873,-0.3901895514847853,-0.5377345917242302,0.34238991273296016,0.25811854347570984,-0.420802220084568,-0.6035919078422841
Top20_Deep_Wrong,shallow,196453,0.5260342168355789,0.24455937717800985,0.35758920218939233,0.40550643255248714,0.43406646219449324,0.1282263318799178,0.010438282085141169,1.1984756939030279,0.6258026278168879,0.469924103984159,0.22079656331918796,0.0,0.0,0.5260342168355789,0.24455937717800985
Top20_Deep_Wrong,deep,196453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.872373411905588,1.8115190202133773,-0.05611011285141993,-0.023762813858821896,-0.5260342168355789,-0.24455937717800985,0.0,0.0
Top20_Deep_Wrong,fixed_average,196453,0.05611011285141993,0.023762813858821896,0.04571339577516689,0.048262883909303826,0.03680033119651209,0.009855741864133882,0.00013229846533780208,1.756831664977332,1.0017898850672433,0.0,0.0,-0.469924103984159,-0.22079656331918796,0.05611011285141993,0.023762813858821896
Top20_Deep_Wrong,anchor,196453,0.2354049060080528,0.09043364218645109,0.15500068098685776,0.17149143012946474,0.17639295049299966,0.013502031769486516,0.00034815635385345784,1.538603821275557,0.8456693425342546,0.17929479315663288,0.06667082832762919,-0.29062931082752613,-0.15412573499155877,0.2354049060080528,0.09043364218645109
Top20_Deep_Wrong,context_only,196453,0.5515619512046138,0.24720438109188644,0.3538937976099171,0.46965016501650164,0.415199243593577,0.100154299340721,0.0038138164167461214,1.0068411971546816,0.5638498137261584,0.4954518383531939,0.22344156723306455,0.025527734369034882,0.0026450039138765924,0.5515619512046138,0.24720438109188644
Shallow_Correct,shallow,1770736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26883139221708235,0.11651482622085312,0.07995093565613398,0.2584231008762409,0.0,0.0,0.10328981847096352,0.3047767702300648
Shallow_Correct,deep,1770736,0.8967101815290365,0.6952232297699352,0.799654433829561,0.8654885547584382,0.8111200208326881,0.7618216716105392,0.34246267187807555,0.5655231974890166,0.17424536137584337,-0.023338882814829542,-0.0463536693538239,-0.10328981847096352,-0.3047767702300648,0.0,0.0
Shallow_Correct,fixed_average,1770736,0.920049064343866,0.7415768991237591,0.8348957201580913,0.8929016805080842,0.8505124337794099,0.8164035020306339,0.40648998017690857,0.22143265918772734,0.10582725231559117,0.0,0.0,-0.07995093565613398,-0.2584231008762409,0.023338882814829542,0.0463536693538239
Shallow_Correct,anchor,1770736,0.9443242809769496,0.83971723637107,0.910545217210072,0.9154562491617398,0.8900405433399425,0.8526256700655723,0.7007464829170256,0.2126327258298354,0.09495838676007669,0.02427521663308363,0.09814033724731086,-0.05567571902305035,-0.16028276362893001,0.04761409944791317,0.14449400660113476
Shallow_Correct,context_only,1770736,0.9151341589034164,0.6850280771752444,0.7910346226911811,0.88779152146877,0.844400826302896,0.6689896374738017,0.3389303234555099,0.4470184240196646,0.21339891183554782,-0.004914905440449591,-0.05654882194851474,-0.08486584109658357,-0.3149719228247556,0.018423977374379952,-0.010195152594690837
Shallow_Wrong,shallow,708407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0746466674832917,1.1304709075971697,-0.409239321463509,-0.2828323671875657,0.0,0.0,-0.44427850091825744,-0.30589081744351143
Shallow_Wrong,deep,708407,0.44427850091825744,0.30589081744351143,0.45838009079811726,0.16310435222973577,0.2749150360743844,0.3279169715104333,0.45762690995949223,4.832974000263076,0.9978567994978205,0.03503917945474844,0.023058450255945717,0.44427850091825744,0.30589081744351143,0.0,0.0
Shallow_Wrong,fixed_average,708407,0.409239321463509,0.2828323671875657,0.429361483147246,0.14246539203843323,0.24539154462558718,0.29146046349386295,0.45201206859237947,1.8307592315053889,0.9305810596441679,0.0,0.0,0.409239321463509,0.2828323671875657,-0.03503917945474844,-0.023058450255945717
Shallow_Wrong,anchor,708407,0.36677644348517163,0.24272525027124342,0.38466984938103493,0.13220454384871824,0.2289598158225199,0.27138800455054546,0.33834863686319,1.812809191745695,0.9344198406440105,-0.042462877978337366,-0.040107116916322294,0.36677644348517163,0.24272525027124342,-0.0775020574330858,-0.06316556717226801
Shallow_Wrong,context_only,708407,0.4470989134777042,0.24735218966817552,0.3811620374394181,0.30907985466620286,0.33203062885912205,0.29965184364614655,0.04864643150123052,1.1362798954733442,0.6437277967281209,0.0378595920141952,-0.0354801775193902,0.4470989134777042,0.24735218966817552,0.002820412559446761,-0.058538627775335916
Top20_Shallow_Correct,shallow,171778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5776669474603531,0.2992734005340351,0.5399818370222031,0.6854895218708374,0.0,0.0,0.601596246317922,0.7316187028512922
Top20_Shallow_Correct,deep,171778,0.39840375368207803,0.26838129714870784,0.4193359643600549,0.20746232702550788,0.2329707155246451,0.3746934225195095,0.25839872352516885,4.305379206390348,1.0949535899929068,-0.061614409295718875,-0.04612918098045471,-0.601596246317922,-0.7316187028512922,0.0,0.0
Top20_Shallow_Correct,fixed_average,171778,0.4600181629777969,0.31451047812916255,0.47565922049570386,0.272009059778359,0.28710095848314166,0.41511665730254016,0.28381523695260946,0.7991240497438107,0.5102817426105265,0.0,0.0,-0.5399818370222031,-0.6854895218708374,0.061614409295718875,0.04612918098045471
Top20_Shallow_Correct,anchor,171778,0.6643924134638894,0.5158995917998168,0.6791183614490457,0.460282098242353,0.5034620469063444,0.49801273258063383,0.6018414894699359,0.6832709540952158,0.40247350091237905,0.20437425048609253,0.20138911367065426,-0.33560758653611056,-0.4841004082001832,0.2659886597818114,0.24751829465110897
Top20_Shallow_Correct,context_only,171778,0.7074072349194891,0.4493636612410568,0.6027916688490635,0.599757706919467,0.571418871731202,0.4185939158934589,0.20768415042009952,0.7679141894611193,0.4296342696832682,0.24738907194169218,0.13485318311189426,-0.2925927650805109,-0.5506363387589432,0.30900348123741106,0.18098236409234897
Top20_Shallow_Wrong,shallow,313673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8676931391764944,1.0517051024197037,-0.6763508494514988,-0.4991217351595167,0.0,0.0,-0.7031558342605198,-0.529251524034172
Top20_Shallow_Wrong,deep,313673,0.7031558342605198,0.529251524034172,0.6881448950886943,0.4036887608069164,0.515177065767285,0.5644708670255888,0.6336694025368979,2.609902739922043,0.5495701917962978,0.026804984809020937,0.030129788874655283,0.7031558342605198,0.529251524034172,0.0,0.0
Top20_Shallow_Wrong,fixed_average,313673,0.6763508494514988,0.4991217351595167,0.6596326943158628,0.34970203318532367,0.482802136937897,0.5332315140936529,0.6307512564211932,1.1158681309475562,0.5753909231706046,0.0,0.0,0.6763508494514988,0.4991217351595167,-0.026804984809020937,-0.030129788874655283
Top20_Shallow_Wrong,anchor,313673,0.5847714020652081,0.41320664947128233,0.5784089725628617,0.26554752640355755,0.4049912118074784,0.49518604429474755,0.48710181537934577,1.1511513974959395,0.6145763533229981,-0.09157944738629076,-0.08591508568823436,0.5847714020652081,0.41320664947128233,-0.1183844321953117,-0.11604487456288964
Top20_Shallow_Wrong,context_only,313673,0.49167763881494425,0.305032553655601,0.44701993155541925,0.3236711400565752,0.3875842145659219,0.439492513979917,0.06938234601998984,1.090787650594706,0.6050250339137211,-0.18467321063655456,-0.1940891815039157,0.49167763881494425,0.305032553655601,-0.2114781954455755,-0.22421897037857097
Both_Wrong,shallow,393677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3844816348862823,1.2395296935939444,-0.0033377616675599538,-0.0011611051866417762,0.0,0.0,0.0,0.0
Both_Wrong,deep,393677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61423901644764,1.757884034364756,-0.0033377616675599538,-0.0011611051866417762,0.0,0.0,0.0,0.0
Both_Wrong,fixed_average,393677,0.0033377616675599538,0.0011611051866417762,0.00231654995470823,0.000975807739968826,0.003204717744328493,0.0003428518682130165,0.00012104339405676935,2.8344252288627527,1.4261944924040697,0.0,0.0,0.0033377616675599538,0.0011611051866417762,0.0033377616675599538,0.0011611051866417762
Both_Wrong,anchor,393677,0.003916916660104603,0.001337213774646431,0.0026669603870419917,0.0010648792105035062,0.003694900670940262,0.0004087732112821406,0.00018030200585981518,2.7204136825698084,1.3734765797488961,0.0005791549925446495,0.00017610858800465486,0.003916916660104603,0.001337213774646431,0.003916916660104603,0.001337213774646431
Both_Wrong,context_only,393677,0.3375584552818681,0.15081537027900313,0.24741716829978483,0.27655949529368107,0.21256985635117967,0.11179833358367866,0.002333795887473193,1.2875422535717378,0.7379016369195348,0.3342206936143082,0.14965426509236135,0.3375584552818681,0.15081537027900313,0.3375584552818681,0.15081537027900313
Both_Correct,shallow,1587837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24040071151031206,0.10026550023181569,0.0,0.0,0.0,0.0,0.0,0.0
Both_Correct,deep,1587837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03576835811053039,0.014784198134891999,0.0,0.0,0.0,0.0,0.0,0.0
Both_Correct,fixed_average,1587837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1255274803186691,0.035841854987453334,0.0,0.0,0.0,0.0,0.0,0.0
Both_Correct,anchor,1587837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1347679582257205,0.04047674558091359,0.0,0.0,0.0,0.0,0.0,0.0
Both_Correct,context_only,1587837,0.9372523754012534,0.7222843613749116,0.8153811745875558,0.9218201118846507,0.8858495090791617,0.7330743738402778,0.34839345069555583,0.41321402047513656,0.18991559080527126,-0.06274762459874661,-0.2777156386250884,-0.06274762459874661,-0.2777156386250884,-0.06274762459874661,-0.2777156386250884
Corrected_by_CH,shallow,305318,0.14201914069920543,0.0768438050878706,0.14230073158108975,0.057348091065310434,0.08691791449348513,0.09772578801241222,0.0653834267802746,1.604614499207652,0.9420526773116118,-0.5482480561250893,-0.4668441782786863,0.0,0.0,-0.581747555008221,-0.5006178547258491
Corrected_by_CH,deep,305318,0.7237666957074264,0.5774616598137197,0.7218420611201161,0.39126722297690664,0.5080719857839741,0.6422661930584476,0.7682412374355503,1.5291162623449002,0.4593241095180681,0.03349949888313164,0.03377367644716278,0.581747555008221,0.5006178547258491,0.0,0.0
Corrected_by_CH,fixed_average,305318,0.6902671968242947,0.5436879833665569,0.6909881456123158,0.3436869466138106,0.4705108353989593,0.5894633972992182,0.7710907541542394,0.949557339971528,0.5322493071924366,0.0,0.0,0.5482480561250893,0.4668441782786863,-0.03349949888313164,-0.03377367644716278
Corrected_by_CH,anchor,305318,0.6530895656332086,0.5011683772423328,0.6583950303646662,0.3249928823284641,0.45116397705640093,0.5842663854421433,0.6442502641423228,0.977410547253813,0.5567742032318894,-0.03717763119108608,-0.04251960612422412,0.5110704249340032,0.4243245721544622,-0.07067713007421772,-0.0762932825713869
Corrected_by_CH,context_only,305318,0.6931134096253742,0.48566617232365394,0.6130792314959546,0.6174355651246891,0.6097887373074313,0.6291461269786222,0.08629425988387315,0.8430011048468141,0.45753853580871484,0.0028462128010794396,-0.05802181104290294,0.5510942689261688,0.40882236723578336,-0.0306532860820522,-0.09179548749006572
Still_Wrong,shallow,378130,0.055904054161267286,0.0237367058428822,0.04614473303726413,0.02806709834496622,0.03610994587978022,0.024717218265605363,0.00605256088117701,2.446391928733255,1.2540719949922938,-0.115743262899003,-0.08002148334340153,0.0,0.0,-0.14872927300134875,-0.09834858540802499
Still_Wrong,deep,378130,0.20463332716261604,0.1220852912509072,0.2140526320259659,0.05228617950579796,0.13128967776896547,0.11230795607868863,0.19245735165017677,7.648751688075918,1.4588123571049327,0.03298601010234575,0.018327102064623457,0.14872927300134875,0.09834858540802499,0.0,0.0
Still_Wrong,fixed_average,378130,0.17164731706027028,0.10375818918628374,0.18485389318387913,0.044138977644028514,0.10670577275255128,0.09087529369776641,0.17331271265078874,2.570998516448242,1.2562821148804506,0.0,0.0,0.115743262899003,0.08002148334340153,-0.03298601010234575,-0.018327102064623457
Still_Wrong,anchor,378130,0.1267553486896041,0.06153488120367962,0.11527352793171576,0.040378820490744725,0.09370004384337796,0.061570276002083035,0.05049038447851276,2.5200318465181297,1.24543982722792,-0.04489196837066617,-0.04222330798260412,0.07085129452833683,0.03779817536079742,-0.07787797847301192,-0.060550410047227575
