group,targets,winner_targets,auroc,auprc,positive,negative,prevalence,image_balanced_auroc,image_balanced_auprc,auroc_eligible_images,auroc_excluded_images,hard_disagreement_prevalence,sign_accuracy,sign_balanced_accuracy,sign_macro_f1,sign_deep_win_recall,sign_shallow_win_recall,sign_image_balanced_accuracy,sign_shallow_win_count,sign_deep_win_count,sign_tn,sign_fp,sign_fn,sign_tp,sign_exact_zero_ties,shallow_accuracy,shallow_miou,shallow_dice,shallow_nll,shallow_brier,deep_accuracy,deep_miou,deep_dice,deep_nll,deep_brier,fixed_average_accuracy,fixed_average_miou,fixed_average_dice,fixed_average_nll,fixed_average_brier,anchor_accuracy,anchor_miou,anchor_dice,anchor_nll,anchor_brier,context_only_accuracy,context_only_miou,context_only_dice,context_only_nll,context_only_brier,anchor_fixed_accuracy_delta,anchor_fixed_miou_delta,SS_pixel_mean,SS_image_mean,SS_std,SD_pixel_mean,SD_image_mean,SD_std,Delta_pixel_mean,Delta_image_mean,Delta_std,wD_pixel_mean,wD_image_mean,wD_std,JS_ctx_shallow_pixel_mean,JS_ctx_shallow_image_mean,JS_ctx_shallow_std,JS_ctx_deep_pixel_mean,JS_ctx_deep_image_mean,JS_ctx_deep_std,consensus_closer_deep_fraction,consensus_js_exact_ties
Deep_Correct,1902567,314730,nan,1.0,314730,0,1.0,nan,1.0,0,3418,0.16542387206337542,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,nan,0,314730,0,0,232380,82350,0,0.8345761279366246,0.5838905845930338,0.7113982366892919,0.47971808075989375,0.24811974776435755,1.0,1.0,1.0,0.04692563350644543,0.020143903252369633,0.9862627702467246,0.9667524983940832,0.9830596610403033,0.19993609258270043,0.08130131082421906,0.9703321880385816,0.8922804556250742,0.9402319440998517,0.22455554746256576,0.09750715261972709,0.8788352788627155,0.6217458094681126,0.7193798644267724,0.501527342155311,0.24550061918275454,-0.01593058220814303,-0.07447204276900898,0.8730290838184822,0.8648218038260123,0.0929749975730267,0.7774616359736894,0.7596635624981682,0.14982442155922432,-0.09556744784485154,-0.1051582413265726,0.13373425839008252,0.4675090573186003,0.4636428023964382,0.051508629446320196,0.048188605659132785,0.051696632082179624,0.055694212883394906,0.1311769268972238,0.14153603453406272,0.09530831880007984,0.06577008851725064,0
Deep_Wrong,576576,182899,nan,nan,0,182899,0.0,nan,nan,0,3418,0.47343455155955155,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,nan,182899,0,169418,13481,0,0,0,0.31721577034077036,0.13375575766630318,0.22293804050004273,1.791659479658597,0.9280408088723888,0.0,0.0,0.0,7.519955279910746,1.6946701742769676,0.07395555833055834,0.02910612930066407,0.055637269276898375,2.2696567742252314,1.200086495353162,0.14890318015318016,0.055483873820877355,0.10134012216069802,2.1393383859765245,1.117947849287581,0.45986305361305363,0.20511211897165954,0.31161604112187435,1.1140090416615787,0.6361919960389139,0.07494762182262182,0.026377744520213284,0.8238977127318661,0.8101132556612198,0.11195202670087895,0.6048489312396591,0.5835530770078312,0.18525188434152232,-0.2190487814781283,-0.22656017859601651,0.1926115776412746,0.41505536026185696,0.4095294163290594,0.08575713795149403,0.06646723700196698,0.07674032740918117,0.07354914091635285,0.23581701320616302,0.24968661868320058,0.13114895490479478,0.06509289321789322,0
Top20_Deep_Correct,288998,220561,nan,1.0,220561,0,1.0,nan,1.0,0,3418,0.7631921328175282,0.22299499911589085,nan,0.18233516839978497,0.22299499911589085,nan,nan,0,220561,0,0,171377,49184,0,0.23680786718247185,0.13828954868200607,0.24216295892459597,1.5558281976049024,0.8939829242614834,1.0,1.0,1.0,0.040395011611843425,0.01590295598980992,0.9693873314002173,0.9341426838819461,0.9655803334112483,0.4918884704247549,0.24683612320752712,0.8695873327843099,0.7653314405747922,0.8651139373183647,0.6096675193539914,0.331413442884482,0.579197779915432,0.3964080921577159,0.5388362739679399,0.9559388807452535,0.5287640246109873,-0.09979999861590738,-0.1688112433071539,0.8228915022221722,0.7974675914398565,0.11300864807105684,0.6056662468390521,0.6995928138710749,0.17966287522384358,-0.21722525538536308,-0.09787477757214501,0.24674453332425303,0.4178354213960875,0.46317015368832665,0.0975732638402484,0.06695648978786066,0.08304509846652698,0.07372035395858306,0.24201993569062347,0.17875562665656355,0.12524484643584255,0.14829168367947182,0
Top20_Deep_Wrong,196453,103341,nan,nan,0,103341,0.0,nan,nan,0,3418,0.8248537818205881,0.9384174722520587,nan,0.4841152567417806,nan,0.9384174722520587,nan,103341,0,96977,6364,0,0,0,0.5260342168355789,0.24455937717800985,0.35758920218939233,1.1984756939030279,0.6258026278168879,0.0,0.0,0.0,7.872373411905588,1.8115190202133773,0.05611011285141993,0.023762813858821896,0.04571339577516689,1.756831664977332,1.0017898850672433,0.2354049060080528,0.09043364218645109,0.15500068098685776,1.538603821275557,0.8456693425342546,0.5515619512046138,0.24720438109188644,0.3538937976099171,1.0068411971546816,0.5638498137261584,0.17929479315663288,0.06667082832762919,0.8357125543082229,0.8187057533092144,0.09951301756337431,0.49187069192679594,0.5014827923714831,0.1901413620139863,-0.34384186234414615,-0.31722296090812097,0.22749422770405398,0.3592582590872169,0.3686015395207694,0.10615329821666229,0.05653693002499948,0.06722232435375584,0.06402924970334575,0.31733790015501656,0.3082767702055295,0.13892081792133765,0.05887413274421872,0
