group,targets,winner_targets,auroc,auprc,positive,negative,prevalence,image_balanced_auroc,image_balanced_auprc,auroc_eligible_images,auroc_excluded_images,hard_disagreement_prevalence,sign_accuracy,sign_balanced_accuracy,sign_macro_f1,sign_deep_win_recall,sign_shallow_win_recall,sign_image_balanced_accuracy,sign_shallow_win_count,sign_deep_win_count,sign_tn,sign_fp,sign_fn,sign_tp,sign_exact_zero_ties,shallow_accuracy,shallow_miou,shallow_dice,shallow_nll,shallow_brier,deep_accuracy,deep_miou,deep_dice,deep_nll,deep_brier,fixed_average_accuracy,fixed_average_miou,fixed_average_dice,fixed_average_nll,fixed_average_brier,anchor_accuracy,anchor_miou,anchor_dice,anchor_nll,anchor_brier,context_only_accuracy,context_only_miou,context_only_dice,context_only_nll,context_only_brier,anchor_fixed_accuracy_delta,anchor_fixed_miou_delta,SS_pixel_mean,SS_image_mean,SS_std,SD_pixel_mean,SD_image_mean,SD_std,Delta_pixel_mean,Delta_image_mean,Delta_std,wD_pixel_mean,wD_image_mean,wD_std,JS_ctx_shallow_pixel_mean,JS_ctx_shallow_image_mean,JS_ctx_shallow_std,JS_ctx_deep_pixel_mean,JS_ctx_deep_image_mean,JS_ctx_deep_std,consensus_closer_deep_fraction,consensus_js_exact_ties
Strength1,495830,36852,0.5519895158669679,0.8010675494336633,28507,8345,0.7735536741560838,0.5502259819696036,0.8495448237608326,1820,1598,0.08605772139644637,0.5058612829697167,0.5370753355587371,0.47651074512031355,0.480022450626162,0.5941282204913122,0.5351676424763024,8345,28507,4958,3387,14823,13684,0,0.8723393098440998,0.5199945625519459,0.6089322275275665,0.45870180835463165,0.20205895451357994,0.9130024403525402,0.5981627538085051,0.6795959130029064,0.6550670758417368,0.14539000998559984,0.911842768690882,0.5850455523032855,0.6614448345559496,0.39082181967197155,0.1526964832533845,0.91185688643285,0.5846691812052732,0.6607418549809555,0.39065398350230734,0.15270398208456107,0.9183187786136378,0.5922601045182329,0.6652441130614855,0.3682688188583371,0.16616823737253972,1.4117741968022735e-05,-0.00037637109801225144,0.8765643480850591,0.836543692507316,0.10173006528536244,0.8670128172784584,0.8276166883889263,0.10110571025725479,-0.009551530806600737,-0.008927004118389682,0.011927526797234357,0.49722709121714537,0.4972490268609696,0.003586645626203973,0.05857735336701078,0.0798973119482307,0.059612027377733814,0.07263495050422829,0.09269898954033634,0.05871366582399809,0.07330133311820583,0
Strength2,495828,47962,0.6115380687035262,0.8132513109001495,35692,12270,0.7441724698719819,0.6112901963196055,0.8461786466754051,2175,1243,0.1117121259791702,0.5197239481255994,0.5977005204629922,0.5111797737214634,0.43802532780455006,0.7573757131214344,0.6022538379656742,12270,35692,9293,2977,20058,15634,0,0.8383007817226942,0.49637127194698205,0.5950346602792231,0.5380963877320444,0.25694817748631527,0.8855389368894052,0.5816686337050199,0.6764912458166926,0.8139867803372388,0.18906052093299758,0.887009204804892,0.5690811653184155,0.65552185118927,0.44337596395029866,0.1941195301468016,0.8870152552901409,0.5677855076735796,0.6532713265643637,0.44299443851742454,0.19419420483423822,0.8957501391611608,0.5754040164215518,0.6570856966731845,0.4463086444373298,0.20852426809297744,6.050485248931814e-06,-0.001295657644835857,0.874729118360562,0.848351535135264,0.09887160077276515,0.8386643779423697,0.8131610879670133,0.09664797341955113,-0.036064740418192305,-0.03519044716825074,0.028610838186885684,0.48935987884310017,0.48923082008667934,0.008969827134353627,0.051387267524200565,0.066321337021591,0.05891273290811734,0.09008388332762435,0.10288819926350122,0.05656601262632507,0.0757258565470284,0
Strength3,495829,65927,0.6254450231863066,0.7994543029135923,46692,19235,0.7082378994948959,0.6375075801674546,0.8306040147056319,2531,887,0.1539805053758453,0.5194533347490407,0.6156211740244868,0.5191410795967021,0.3847125845969331,0.8465297634520406,0.6302728820867555,19235,46692,16283,2952,28729,17963,0,0.7767899820300951,0.4531520487165404,0.5694557463897093,0.6992450957791255,0.3517567650935881,0.8321659281728176,0.5446306435317118,0.661184527156958,1.2225091715661587,0.2812068291219143,0.8377021110100458,0.5366991244490833,0.6452902038497251,0.5828189768579167,0.2735550865990597,0.8379138775666611,0.5333772579176306,0.6396368639126874,0.5815970463232525,0.27357470977114146,0.8486575008722765,0.5371846588915882,0.6381616252703339,0.5781785599109037,0.290317170416133,0.00021176655661536703,-0.003321866531452722,0.8621210687645966,0.853052921223522,0.0974104977154825,0.7868344942903206,0.7818777138890372,0.09429961087350566,-0.07528657447427597,-0.07117520733448478,0.05038061395507951,0.4768965160087042,0.47778086565021216,0.016554748561337613,0.05089537364509585,0.05671985549607337,0.059241073893294784,0.12175002744546816,0.12399892248376065,0.055928902032622935,0.0776013504655839,0
Strength4,495828,101249,0.6308978203199348,0.7748810482243899,65881,35368,0.6506829697083428,0.6767835113065503,0.8166321206859654,2891,527,0.23899416733222004,0.5219014508785272,0.6155089408874721,0.514298110778471,0.30489822558856117,0.9261196561863831,0.660379724864387,35368,65881,32755,2613,45794,20087,0,0.6456573650540106,0.36963588425151683,0.5152053689317833,0.9651942495877321,0.5197970186971985,0.7071968505207451,0.45782991237244075,0.6105991257913456,2.2147986965030224,0.5087481376891378,0.7195821938252781,0.4645634101555718,0.6151714141365209,0.8585166012668409,0.44339125801776963,0.7207136345668256,0.4581457648291274,0.6053728445629075,0.8487992397063017,0.4397314568840787,0.7370156586558242,0.45719186765525777,0.596542693892006,0.7841189262190887,0.4294682662630267,0.0011314407415474736,-0.006417645326444399,0.8451666747105411,0.836471704248311,0.09725532283751716,0.7029248225145136,0.7211265850428118,0.09671134775932506,-0.14224185219598243,-0.11534511920533223,0.08430324346669453,0.45332111207938736,0.4615601912725236,0.02978981676740087,0.05255232378746787,0.06085443737520269,0.06133958499818496,0.1737215818017047,0.16283741929645493,0.05927712576889239,0.06376606403833587,0
Strength5,495828,245639,0.5502267235510299,0.6407672274898211,137958,107681,0.5616290572751069,0.7466662839599667,0.7984948607055045,2837,581,0.5945468993279928,0.4930446712452013,0.5470926635540359,0.4120988516094123,0.10859826903840299,0.9855870580696687,0.6765039459941513,107681,137958,106129,1552,122976,14982,0,0.43817815855498277,0.26629722045881615,0.41843698590986056,1.2629499373738644,0.7006873107849105,0.4992416725154691,0.3410823167138592,0.49144458611513997,4.018310469718203,0.9235440008791804,0.5142972966431908,0.3563778406745918,0.5093610709355363,1.130930314467025,0.6437283105769195,0.5389590745177764,0.3861818906833817,0.5484829445616809,1.0853461706364649,0.6139552562229641,0.5072303298724558,0.2944788464369315,0.4408035664528327,1.0429894657975076,0.587342750093687,0.024661777874585566,0.02980405000878994,0.8494315632175102,0.8082683647923767,0.1000572268769866,0.4911477649572091,0.5312227654330762,0.15328174113631451,-0.3582837982442002,-0.2770455993289776,0.19063984505233794,0.35974451304167115,0.38818101262942967,0.08610384789178373,0.048786057916867034,0.07530065267741691,0.06434241470005456,0.3193756795733834,0.29044282696176493,0.10893568392085892,0.037668304331340705,0
