bin,low,high,upper_inclusive,targets,deep_win,shallow_win,mean_wD,empirical_deep_win_probability
0,0.0,0.2,False,13588,1232,12356,0.16152565157567889,0.09066823667942302
1,0.2,0.4,False,171148,99427,71721,0.3222656902675875,0.5809416411526865
2,0.4,0.6000000000000001,False,302689,204895,97794,0.47611314071526817,0.6769159103898721
3,0.6000000000000001,0.8,False,10148,9123,1025,0.644653252872558,0.8989948758376035
4,0.8,1.0,True,56,53,3,0.8247092291712761,0.9464285714285714
