min_area,representation,accuracy,macro_f1,balanced_accuracy,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,segmentation_miou,segmentation_mdice,segmentation_gain_miou_pp,segmentation_iou_class_0,segmentation_iou_class_1,segmentation_iou_class_2,segmentation_iou_class_3
1,centroid,0.5614404302583889,0.4797331062695033,0.49095994117857994,0.6899239914246735,0.5765702187720536,0.577752871952928,0.32169117647058826,0.23272727272727273,0.5184229544995289,0.6704290380064999,-15.485621245459392,0.6805603593261067,0.57998776433031,0.5198910165665233,0.2932526777751757
1,bbox,0.5820180053782299,0.5028017691639678,0.5160673851557133,0.6911447084233261,0.6099686301847334,0.5932721712538226,0.3747779751332149,0.24484536082474226,0.5891927915715752,0.7344580127127855,-8.408637538254759,0.7212022671996818,0.6464641920920466,0.5814502329870613,0.40765447400751104
1,region,0.5992049573249152,0.5177245742419967,0.5281454386442919,0.7112068965517241,0.6286796350490618,0.6073654390934844,0.3807763401109057,0.2605945604048071,0.6045994859570948,0.7476361466136349,-6.867968099702804,0.7317753956480902,0.656342001910122,0.5934518212437112,0.4368287250264557
1,geometry,0.2634163451420554,0.22592033914330475,0.24884362209542465,0.37111483342639123,0.21685114072735487,0.2950474183350896,0.1290704558910598,0.11751784733662822,0.14368187876710276,0.23592536398493993,-52.95972881870201,0.2846694648934352,0.200441856902147,0.08242983131045135,0.007186361962377385
1,region_geometry,0.6011925640126271,0.5182567918808801,0.5278688471046966,0.7157151265450264,0.6266506602641057,0.614471452798191,0.37523452157598497,0.25921219822109276,0.601385702582485,0.7436711989144063,-7.189346437163779,0.7345196203049253,0.6553527258017238,0.6058057640714211,0.4098647001518699
8,centroid,0.5612788632326821,0.4781608884506963,0.4889204997510621,0.6890557092058475,0.5759685770398143,0.582034570699915,0.31098696461824954,0.23275862068965517,0.516010665812237,0.6677108490103926,-15.726850114188585,0.6788985904671749,0.5791832022831659,0.5210861863814515,0.2848746841171559
8,bbox,0.5843694493783304,0.5044983726463156,0.5174376698993861,0.6938531927591008,0.6121437422552665,0.5981517782133856,0.3764705882352941,0.24187256176853056,0.5918822581271993,0.7369670913291446,-8.139690882692353,0.7230778281655668,0.6458219046293089,0.5829826242836746,0.41564667543024675
8,region,0.5989342806394317,0.5176139047224309,0.528169127924403,0.7132616487455197,0.6267039496679483,0.6122098022355976,0.3821062441752097,0.2537878787878788,0.6021868380786597,0.7452140791668339,-7.109232887546312,0.7333625909166832,0.6557862141622305,0.5930139934198191,0.42658455381590604
8,geometry,0.27554766133806985,0.233496000863974,0.25256823707453846,0.38510718315156073,0.24478136673258624,0.29789559989068054,0.13064713064713065,0.10904872389791183,0.1505264179712937,0.24556537390979097,-52.27527489828291,0.2838446607962042,0.22489789716051825,0.08645700174962523,0.006906112178827213
8,region_geometry,0.5978685612788632,0.514500494252278,0.5243225175463888,0.714058144165671,0.6263332750480853,0.6124319679175021,0.36827195467422097,0.25140712945590993,0.6000316461732091,0.7424827833573611,-7.324752078091368,0.7357809162108503,0.6547615160562944,0.6015762767906794,0.4080078756350127
32,centroid,0.5639965965722621,0.47926426660125043,0.4902692821942387,0.6969389823636732,0.586808745177292,0.570426651081239,0.3135755258126195,0.22857142857142856,0.5175478563341941,0.6706779576426394,-15.573131061992873,0.676888610950728,0.5796874129170093,0.5094369337035206,0.30417846776551816
32,bbox,0.5908593655038289,0.5151078052724954,0.5294528729137831,0.7056451612903226,0.6160616061606161,0.5989461358313818,0.4186046511627907,0.23628147191736604,0.6030337940447272,0.7478564460604542,-7.024537290939559,0.7224049292037542,0.6444745915853849,0.5832863715586166,0.461969283831153
32,region,0.6056885863619789,0.5289513423428738,0.5411980825527092,0.7122448979591837,0.6365110830780321,0.6216696269982238,0.41346153846153844,0.2608695652173913,0.6121425241839991,0.7550481183397451,-6.113664277012376,0.7267920677007682,0.6575354582959055,0.593672585269224,0.47056998547009843
32,geometry,0.2705725051659171,0.23005865668261313,0.24861989045512659,0.3871338311315336,0.23453962437013284,0.2910037604859705,0.13075383589059372,0.106862231534835,0.14565481378036457,0.23756870926922197,-52.762435317375825,0.28525163655119196,0.21787268383385022,0.07454531959327902,0.004949615143137055
32,region_geometry,0.6032575665491674,0.5236289072420253,0.5343333597870223,0.7128350934199837,0.6350813743218806,0.6177856301531213,0.4019704433497537,0.250471994965387,0.6092553096341617,0.7526144303356463,-6.402385731996107,0.7257120370148988,0.6555466764708826,0.5914218721127026,0.4643406529381631
