representation,n,silhouette_sample_n,silhouette,davies_bouldin,between_within_scatter_ratio
region,8445,8445,0.05227857083082199,5.608075674914249,0.08127152103203894
bbox,8445,8445,0.042338185012340546,5.693140082117703,0.07493921699022248
centroid,8445,8445,0.018666205927729607,7.729806357835523,0.04601023025565982
