purity_stratum,n_regions,mean_purity,wrong_pixels,accuracy,macro_f1,balanced_accuracy,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4
<0.60,882,0.525182705626179,11359490,0.4523809523809524,0.4093312516988961,0.42535584067055543,0.45325779036827196,0.4819277108433735,0.5524861878453039,0.22448979591836735,0.3344947735191638
0.60-0.80,1408,0.7009018002952107,14158510,0.6079545454545454,0.5414445630788853,0.5532920464121508,0.6750700280112045,0.6323809523809524,0.6711635750421585,0.36065573770491804,0.36795252225519287
0.80-0.95,1536,0.8815840802722271,8161005,0.7037760416666666,0.5927411463211755,0.6073263184978814,0.7908820614469773,0.7540394973070018,0.6955017301038062,0.4732824427480916,0.25
>=0.95,4619,0.9963904935699492,6304520,0.5893050443819008,0.49534734448589246,0.5036246880956765,0.7270875763747454,0.6088458880442295,0.5807770961145194,0.39058171745152354,0.16944444444444445
