step,affinity_eq_error_morphology,affinity_eq_error_semantic
0,0.010489176129340194,0.008939906816522125
4,0.009565432948875241,0.009580478188581765
8,0.013281304767588153,0.00917723192833364
16,0.014427676782361232,0.013435332002700306
32,0.012765170191414654,0.013493158738128841
64,0.012987530993996188,0.010947296526865102
96,0.012710094408248551,0.011900296653038822
128,0.012004954638541676,0.010873745268327184
