step,eq_grad_norm,base_grad_norm,sem_grad_norm,orth_grad_norm,rec_grad_norm,cos_eq_base,cos_eq_sem,cos_eq_orth,cos_eq_rec,finite
4,0.1868688464164734,0.07959181815385818,0.0,0.09274429827928543,0.005745738744735718,-0.06249294802546501,0.0,-0.04985760524868965,0.06970793008804321,True
8,0.2893068194389343,0.12435291707515717,0.0,0.16940957307815552,0.02032863162457943,0.011513779871165752,0.0,-0.021329011768102646,-0.037616029381752014,True
16,0.17082110047340393,0.03944231942296028,0.0,0.07805289328098297,0.04504506662487984,0.02821735292673111,0.0,-0.01137066725641489,-0.04983587563037872,True
32,0.19856902956962585,0.0834931805729866,0.0,0.061557233333587646,0.033599186688661575,0.02372923120856285,0.0,-0.05062629655003548,-0.12893515825271606,True
64,0.20896336436271667,0.03485526144504547,0.0,0.1789192259311676,0.031343068927526474,0.03762412443757057,0.0,-0.022377079352736473,-0.17602114379405975,True
96,0.2207329273223877,0.054606519639492035,0.0,0.05517551675438881,0.031149813905358315,0.06302642077207565,0.0,-0.0639207735657692,-0.2487829178571701,True
128,0.17869414389133453,0.04690888896584511,0.0,0.07442577928304672,0.03487776592373848,-0.13862209022045135,0.0,-0.04319611191749573,-0.1914183348417282,True
