step,eq_error_morphology,eq_error_semantic
0,0.06337929546134546,0.04613633034750819
4,0.05475946271326393,0.0470450398279354
8,0.07736729027237743,0.046584671654272825
16,0.08094769215676934,0.06551819940796122
32,0.07017326436471194,0.06687224155757576
64,0.07593254698440433,0.05356115329777822
96,0.07087259192485362,0.05770979227963835
128,0.06995104160159826,0.05443803878733888
