step,state,loss_total,loss_sshr,loss_sem_pres,loss_eq,loss_orth,loss_rec,equivariance_scheduled,finite
0,start,0.17754033207893372,0.16958370804786682,0.14328765869140625,0.06257335841655731,0.015844818204641342,0.0,False,True
1,training_pre_update,0.17754033207893372,0.16958370804786682,0.14328765869140625,,0.015844818204641342,0.0,False,True
2,training_pre_update,0.21966731548309326,0.21603769063949585,0.0558849573135376,,0.016639431938529015,3.3915042877197266e-05,False,True
3,training_pre_update,0.25494900345802307,0.24472543597221375,0.18989944458007812,,0.014361821115016937,0.00010520219802856445,False,True
4,training_pre_update,0.33382073044776917,0.327542781829834,0.03940236568450928,0.07165838778018951,0.014421424828469753,3.8504600524902344e-05,True,True
5,training_pre_update,0.4705997109413147,0.4661703109741211,0.07272404432296753,,0.015746288001537323,5.8710575103759766e-05,False,True
6,training_pre_update,0.31420257687568665,0.309774249792099,0.07638198137283325,,0.010939551517367363,0.0006223320960998535,False,True
7,training_pre_update,0.3241065740585327,0.3183457851409912,0.1057705283164978,,0.008994021452963352,0.00022560358047485352,False,True
8,training_pre_update,0.2992439270019531,0.29128581285476685,0.040858685970306396,0.10675583779811859,0.010557189583778381,0.0004951357841491699,True,True
9,training_pre_update,0.3787333369255066,0.37340840697288513,0.09255260229110718,,0.013338794931769371,0.00030356645584106445,False,True
10,training_pre_update,0.528985857963562,0.5201383829116821,0.1649717092514038,,0.010966083966195583,0.000505983829498291,False,True
11,training_pre_update,0.617007315158844,0.6154358386993408,0.0214921236038208,,0.009305729530751705,0.00031566619873046875,False,True
12,training_pre_update,0.68013995885849,0.6763166189193726,0.017570972442626953,0.04903755709528923,0.008818368427455425,0.0005197525024414062,True,True
13,training_pre_update,0.41522666811943054,0.41161054372787476,0.05985760688781738,,0.009818405844271183,0.0013232827186584473,False,True
14,training_pre_update,0.5358472466468811,0.5294852256774902,0.11581718921661377,,0.007788507733494043,0.0018177628517150879,False,True
15,training_pre_update,0.27192071080207825,0.26706385612487793,0.08494478464126587,,0.007866119965910912,0.002163112163543701,False,True
16,training_pre_update,0.2674972414970398,0.258504718542099,0.08078527450561523,0.08482380956411362,0.009974006563425064,0.002133667469024658,True,True
17,training_pre_update,0.2791535258293152,0.2751651108264923,0.06627923250198364,,0.010012722574174404,0.001738131046295166,False,True
18,training_pre_update,0.28902459144592285,0.28280770778656006,0.11012578010559082,,0.010226970538496971,0.0019925832748413086,False,True
19,training_pre_update,0.3362461030483246,0.33235007524490356,0.06407475471496582,,0.01030678953975439,0.0017693638801574707,False,True
20,training_pre_update,0.23153692483901978,0.22261133790016174,0.08802241086959839,0.07702484726905823,0.009771627373993397,0.001846611499786377,True,True
21,training_pre_update,0.22199273109436035,0.21789701282978058,0.06807917356491089,,0.009210662916302681,0.0023122429847717285,False,True
22,training_pre_update,0.42738449573516846,0.4229970872402191,0.07348841428756714,,0.010562311857938766,0.0018485784530639648,False,True
23,training_pre_update,0.3802848756313324,0.37427109479904175,0.10509347915649414,,0.010316621512174606,0.002432882785797119,False,True
24,training_pre_update,0.23983518779277802,0.23031872510910034,0.08224809169769287,0.0957791656255722,0.009107233956456184,0.0015972256660461426,True,True
25,training_pre_update,0.21749641001224518,0.21533724665641785,0.02695775032043457,,0.01261482760310173,0.0018054842948913574,False,True
26,training_pre_update,0.25144797563552856,0.2475413978099823,0.06230509281158447,,0.012106070294976234,0.0018599629402160645,False,True
27,training_pre_update,0.16903670132160187,0.1653350442647934,0.05827689170837402,,0.011363493278622627,0.0021963119506835938,False,True
28,training_pre_update,0.16062842309474945,0.1512848436832428,0.08713537454605103,0.08426609635353088,0.011681383475661278,0.0018943548202514648,True,True
29,training_pre_update,0.23515912890434265,0.23219174146652222,0.04361248016357422,,0.011144433170557022,0.002295374870300293,False,True
30,training_pre_update,0.1951296329498291,0.19180753827095032,0.05064505338668823,,0.01186174526810646,0.00196760892868042,False,True
31,training_pre_update,0.1796244978904724,0.1761789619922638,0.05413544178009033,,0.011890877038240433,0.0014423131942749023,False,True
32,training_pre_update,0.34155309200286865,0.3325675129890442,0.06618505716323853,0.09951776266098022,0.010598437860608101,0.001705169677734375,True,True
