fold,whole_f1,core_f1,core_delta,core_rim_f1,core_rim_delta
0,0.7331168811334939,0.6804796156744788,-0.05263726545901515,0.7118530507631975,-0.021263830370296444
1,0.6642256363487553,0.6438569642794497,-0.020368672069305593,0.6765001199171681,0.012274483568412764
2,0.6302396234851422,0.5992621842370854,-0.030977439248056737,0.6237034788867676,-0.006536144598374594
3,0.5608108867205949,0.5583903325436818,-0.0024205541769131145,0.578622759648009,0.017811872927414152
4,0.6037196060020529,0.6201600231550388,0.016440417152985942,0.6030462044265756,-0.0006734015754772393
