class,whole_f1,core_f1,core_delta,core_rim_f1,core_rim_delta
0,0.8074712643678161,0.8005738880918221,-0.0068973762759940715,0.8160270880361173,0.00855582366830121
1,0.7405806053119209,0.7281642660128715,-0.012416339299049395,0.7494553376906318,0.008874732378710837
2,0.6625916870415648,0.6388888888888888,-0.023702798152675952,0.6584004959702418,-0.004191191071323042
3,0.5089141004862237,0.45819397993311034,-0.05072012055311331,0.47540983606557374,-0.03350426442064991
