gt_majority_class,proposed_regions,excluded_regions,exclusion_fraction
0,2680,340,0.12686567164179105
1,2997,529,0.17650984317650983
2,1556,387,0.2487146529562982
3,539,119,0.22077922077922077
4,708,151,0.2132768361581921
