group,n_regions,whole_dispersion_mean,whole_dispersion_median,core_dispersion_mean,core_dispersion_median,rim_dispersion_mean,rim_dispersion_median,core_rim_discrepancy_mean,core_rim_discrepancy_median
Type-A,3343,0.06929417718519466,0.06795297563076019,0.045840691208851675,0.045283105224370956,0.09546936090618835,0.09546665847301483,0.03844738493342261,0.03049933910369873
Type-B,1395,0.06724226140687542,0.06655298173427582,0.03906842025571025,0.03897227719426155,0.07521845415888828,0.07107646763324738,0.03249167712358591,0.02800649404525757
Mixed,2216,0.08250506198124469,0.0821520946919918,0.05668211308272643,0.05631737597286701,0.1044614323354343,0.1044798493385315,0.04102463452717027,0.028650671243667603
