diffuseness_bin,image_classes,mean_neff,mean_top5_mass
concentrated,42,25.90647001954155,0.49799668230073024
diffuse,1483,100.92476506584788,0.11181901119105994
moderate,989,58.74535693497124,0.24363548279020764
very_diffuse,3568,167.80660077016162,0.04738974002482105
